,name,hometown,high school?,sport,college
0,Parker Jackson-Cartwright,"Los Angeles, Calif.",N/A,mens basketball,arizona
1,Rawle Alkins,"Brooklyn, N.Y.",N/A,mens basketball,arizona
2,Dylan Smith,"Mobile, Ala.",N/A,mens basketball,arizona
3,Chase Jeter,"Las Vegas, Nev.",N/A,mens basketball,arizona
4,Brandon Randolph,"Yonkers, N.Y.",N/A,mens basketball,arizona
5,Ira Lee,"Los Angeles, Calif.",N/A,mens basketball,arizona
6,Deandre  Ayton,"Nassau, Bahamas",N/A,mens basketball,arizona
7,Dusan Ristic,"Novi Sad, Serbia",N/A,mens basketball,arizona
8,Talbott Denny,"Tucson, Ariz.",N/A,mens basketball,arizona
9,Alex Barcello,"Chandler, Ariz.",N/A,mens basketball,arizona
10,Emmanuel Akot,"Winnipeg, Manitoba",N/A,mens basketball,arizona
11,Keanu  Pinder,"Perth, Australia",N/A,mens basketball,arizona
12,Allonzo Trier,"Seattle, Wash.",N/A,mens basketball,arizona
13,Tyler Trillo,"Southbury, Conn.",N/A,mens basketball,arizona
14,Kory Jones,"Herndon, Va.",N/A,mens basketball,arizona
15,Matt Weyand,"Irvine, Calif.",N/A,mens basketball,arizona
16,Jake DesJardins,"Henderson, Nev.",N/A,mens basketball,arizona
17,Aarion McDonald,"Fresno, Calif.",Brookside Christian High School,womens basketball,arizona
18,Lucia Alonso,"Leon, Spain",Aron Leon Cuña del Parlamentarismo,womens basketball,arizona
19,Tee Tee Starks,"Brooklyn Park, Minn.",Hopkins High School,womens basketball,arizona
20,Sam Thomas,"Bloomfield Hills, Mich.",Centennial High School,womens basketball,arizona
21,Dominique McBryde,"Bedford, Ind.",Bedford North Lawrence High School,womens basketball,arizona
22,Destiny Graham,"San Francisco, Calif.",Eastside College Prep,womens basketball,arizona
23,Lindsey Malecha,"Mahtomedi, Minn.",Hill-Murray High School,womens basketball,arizona
24,Kiana Barkhoff,"Kitzingen, Germany",Palm Harbor High School,womens basketball,arizona
25,Kobe Kato,"Aiea, Hawaii",Aiea HS,baseball,arizona
26,Donta Williams,"Las Vegas, Nev.",Legacy HS,baseball,arizona
27,Gil Luna,"Casa Grande, Ariz.",Casa Grande Union HS,baseball,arizona
28,Travis Moniot,"Palm Desert, Calif.",Palm Desert HS,baseball,arizona
29,Ryan Haug,"Rohnert Park, Calif.",Rancho Cotate,baseball,arizona
30,Cal Stevenson,"Fremont, Calif.",John F. Kennedy HS,baseball,arizona
31,Jacob Blas,"Carlsbad, Calif.",San Marcos HS,baseball,arizona
32,Cesar Salazar,"Hermosillo, Mexico",Sahuaro HS,baseball,arizona
33,Nick Quintana,"Las Vegas, Nev.",Arbor View HS,baseball,arizona
34,Jonathan  Guardado,"La Puente, Calif.",Nogales HS,baseball,arizona
35,Cody Deason,"Ojai, Calif.",Nordhoff HS,baseball,arizona
36,Mitchell Morimoto,"Issaquah, Wash.",Issaquah HS,baseball,arizona
37,Randy Labaut,"Downey, Calif.",Downey HS,baseball,arizona
38,Ryan  Gowens,"Phoenix, Ariz.",Deer Valley HS,baseball,arizona
39,Zach Sherman,"Ramona, Calif.",Ramona HS,baseball,arizona
40,Roman Phansalkar,"Edmond, Okla.",Heritage Hall HS,baseball,arizona
41,Seve Romo,"Fullerton, Calif.",Servite HS,baseball,arizona
42,Matt Fraizer,"Fresno, Calif.",Clovis North HS,baseball,arizona
43,Robby Medel,"Grand Prairie, Texas",Arlington Bowie HS,baseball,arizona
44,Matthew Dyer,"Glendale, Ariz.",Mountain Ridge HS,baseball,arizona
45,Alfonso Rivas III,"San Diego, Calif.",La Jolla Country Day,baseball,arizona
46,Michael Flynn,"Los Alamitos, Calif.",Servite HS,baseball,arizona
47,Avery Weems,"Flagstaff, Ariz.",Coconino HS,baseball,arizona
48,Blake Paugh,"Scottsdale, Ariz.",Chaparral HS,baseball,arizona
49,Jake Meyer,"Scottsdale, Ariz.",Desert Mountain HS,baseball,arizona
50,Preston Price,"Vista, Calif.",Cathedral Catholic HS,baseball,arizona
51,Cameron Haskell,"Temecula, Calif.",Chaparral HS,baseball,arizona
52,Austin Nichols,"Queen Creek, Ariz.",Queen Creek HS,baseball,arizona
53,Juan Aguilera,"Sierra Vista, Ariz.",Buena HS,baseball,arizona
54,Cameron Cannon,"Glendale, Ariz.",Mountain Ridge HS,baseball,arizona
55,Tylor Megill,"Seal Beach, Calif.",Los Alamitos,baseball,arizona
56,Michael Benson,"Vista, Calif.",Rancho Buena Vista HS,baseball,arizona
57,Quinn Flanagan,"Chandler, Ariz.",Corona del Sol HS,baseball,arizona
58,Jason Seever,"Hayward, Calif.",Castro Valley HS,baseball,arizona
59,Tate Soderstrom,"Turlock, Calif.",Turlock HS,baseball,arizona
60,Zach Stone,"Eureka, Calif.",Eureka HS,baseball,arizona
61,Josh Haley,"Lakewood, Calif.",Gahr HS,baseball,arizona
