,name,hometown,high school?,sport,college
0,Flo Thamba,"Kinshasa, Democratic Rep. of Congo",Mountain Mission [Va.] School,mens basketball,baylor
1,Darius Allen,"Melbourne, Fla.",Chaminade-Madonna Prep/Palm Beach State,mens basketball,baylor
2,Devonte Bandoo,"Brampton, Ont.",Faith Baptist HS/Hutchinson [Kan.] CC,mens basketball,baylor
3,King McClure,"Dallas, Texas",Triple A Academy,mens basketball,baylor
4,Mario Kegler,"Jackson, Miss.",Oak Hill Academy/Mississippi State,mens basketball,baylor
5,MaCio Teague,"Cincinnati, Ohio",Walnut Hills [Ohio] HS/UNC Asheville,mens basketball,baylor
6,Makai Mason,"Greenfield, Mass.",Hotchkiss School/Yale,mens basketball,baylor
7,Mark Vital,"Lake Charles, La.",Advanced Prep Int'l. [Texas],mens basketball,baylor
8,Jared Butler,"Reserve, La.",Riverside Academy,mens basketball,baylor
9,Jackson Moffatt,"Magnolia, Texas",Magnolia HS,mens basketball,baylor
10,Obim Okeke,"Las Vegas, Nev.",Bishop Gorman HS,mens basketball,baylor
11,Jake Lindsey,"Houston, Texas",Olympus HS [Utah],mens basketball,baylor
12,Matthew Mayer,"Austin, Texas",Westlake HS,mens basketball,baylor
13,Tristan Clark,"San Antonio, Texas",Wagner HS,mens basketball,baylor
14,Freddie Gillespie,"St. Paul, Minn.",East Ridge HS/Carleton,mens basketball,baylor
15,Davion Mitchell,"Hinesville, Ga.",Liberty County HS/Auburn,mens basketball,baylor
16,NaLyssa Smith,"Converse, Texas",East Central HS,womens basketball,baylor
17,DiDi Richards,"Cypress, Texas",Cypress Ranch HS,womens basketball,baylor
18,Trinity Oliver,"Euless, Texas",Trinity HS,womens basketball,baylor
19,Honesty Scott-Grayson,"Brick, N.J.",Riverdale Baptist HS,womens basketball,baylor
20,Aquira DeCosta,"Sacramento, Calif.",St. Mary's HS,womens basketball,baylor
21,Moon Ursin,"Destrehan, La.",Destrehan HS,womens basketball,baylor
22,Lauren Cox,"Flower Mound, Texas",Flower Mound HS,womens basketball,baylor
23,Juicy Landrum,"Waco, Texas",La Vega HS,womens basketball,baylor
24,Kalani Brown,"Slidell, La.",Salmen HS,womens basketball,baylor
25,Chloe Jackson,"Upper Marlboro, Md.",Riverdale Baptist HS,womens basketball,baylor
26,Queen Egbo,"Houston, Texas",Travis HS,womens basketball,baylor
27,Caitlin Bickle,"Cave Creek, Ariz.",Cactus Shadows HS,womens basketball,baylor
28,Cole Haring,"Katy, Texas",Katy HS,baseball,baylor
29,Nick Loftin,"Corpus Christi, Texas",W.B. Ray HS,baseball,baylor
30,Tucker Cascadden,"Houston, Texas",San Jacinto JC,baseball,baylor
31,Levi Gilcrease,"Odessa, Florida",Home School,baseball,baylor
32,Davion Downey,"Bowling Green, Ky.",Warren East HS,baseball,baylor
33,Drew Robertson,"Tyler, Texas",The Brook Hill School,baseball,baylor
34,Tucker Johnson,"China Spring, Texas",McLennan CC,baseball,baylor
35,Hunter Seay,"Keller, Texas",Keller HS,baseball,baylor
36,Josh Bissonette,"Anaheim Hills, Calif.",Orange Lutheran HS,baseball,baylor
37,Kyle Hill,"Corpus Christi, Texas",Calallen HS,baseball,baylor
38,Joe Heineman,"Southlake, Texas",Carroll HS,baseball,baylor
