,name,hometown,high school?,sport,college
0,Ky Bowman,"Havelock, N.C.",Havelock,mens basketball,boston_college
1,Jerome Robinson,"Raleigh, N.C.",Needham Broughton,mens basketball,boston_college
2,Avery Wilson,"Forest Park, Ga.",Forest Park,mens basketball,boston_college
3,Samuel Holtze,"Manhattan Beach, Calif.",Notre Dame HS,mens basketball,boston_college
4,Ervins Meznieks,"Riga, Latvia",Rigas Teikas,mens basketball,boston_college
5,"Vin Baker, Jr.","Old Saybrook, Conn.",Hamden Hall Country Day School,mens basketball,boston_college
6,Johncarlos Reyes,"Lawrenceville, Ga.",Sound Doctrine Christian Academy,mens basketball,boston_college
7,Luka Kraljevic,"Domzale, Slovenia",Don Bosco Prep (Ind.),mens basketball,boston_college
8,Gordon Gehan,"Dallas, Texas",Episcopal School of Dallas,mens basketball,boston_college
9,Nik Popovic,"Banja Luka, Bosnia and Herzegovina",The Sagemont School (Fla.),mens basketball,boston_college
10,Matt DiLuccio,"Rockville Centre, N.Y.",South Side,mens basketball,boston_college
11,Deontae Hawkins,"Dayton, Ohio",Dayton Dunbar,mens basketball,boston_college
12,Will Jackowitz,"Wellesley, Mass.",Wellesley,mens basketball,boston_college
13,Jordan Chatman,"Vancouver, Wash.",Union,mens basketball,boston_college
14,Steffon Mitchell,"Shakopee, Minn.",Shakopee,mens basketball,boston_college
15,Bruce Bohuny,"Ridgewood, N.J.",Stony Brook School,mens basketball,boston_college
16,Jenasae Bishop,"Hammond, Ind.",East Chicago Central,womens basketball,boston_college
17,Taylor Ortlepp,"Adelaide, Australia",St. Ignatius College,womens basketball,boston_college
18,Georgia Pineau,"Victoria, Australia",Caulfield Grammar,womens basketball,boston_college
19,Makayla  Dickens,"Virginia Beach, Va.",Princess Anne,womens basketball,boston_college
20,Emma Guy,"Penfield, N.Y.",Penfield,womens basketball,boston_college
21,Taylor Soule,"W. Lebanon, N.H.",Kimball Union Academy,womens basketball,boston_college
22,Marnelle  Garraud,"Lynn, Mass.",Nobles & Greenough School,womens basketball,boston_college
23,Lana Hollingsworth,"Brighton East, Australia",Haileybury Girls College,womens basketball,boston_college
