,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
0,Anthony Oliver Il,"Birmingham, Ala.",N/A,"Birmingham, Ala.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
1,Elijah Thomas,"Dallas, Texas",N/A,"Dallas, Texas",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
2,Jonathan Baehre,"Hessen, Germany",N/A,"Hessen, Germany",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
3,Aamir Simms,"Palmyra, Va.",N/A,"Palmyra, Va.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
4,Hunter Tyson,"Monroe, N.C.",N/A,"Monroe, N.C.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
5,Lyles Davis,"Charleston, S.C.",N/A,"Charleston, S.C.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
6,Trey Jemison,"Birmingham, Ala.",N/A,"Birmingham, Ala.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
7,Shelton Mitchell,"Waxhaw, N.C.",N/A,"Waxhaw, N.C.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
8,Parker Fox,"Watkinsville, Ga.",N/A,"Watkinsville, Ga.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
9,John Newman I I I,"Greensboro, N.C.",N/A,"Greensboro, N.C.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
10,Javan White,"Ames, Iowa",N/A,"Ames, Iowa",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
11,Clyde Trapp,"Eastover, S.C.",N/A,"Eastover, S.C.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
12,Marcquise Reed,"Landover, Md.",N/A,"Landover, Md.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
13,Malik William,"Orlando, Fla.",N/A,"Orlando, Fla.",Name,Hometown (Prev School),N/A,Hometown (Prev School),mens basketball,clemson
0,Tylar Bennett,"Redford, Mich.",N/A,"Redford, Mich.",Name,Hometown (Prev School),N/A,Hometown (Prev School),womens basketball,clemson
1,Chyna Cotton,"Mableton, Ga.",N/A,"Mableton, Ga.",Name,Hometown (Prev School),N/A,Hometown (Prev School),womens basketball,clemson
2,Kobi Thornton,"Shellman, Ga.",N/A,"Shellman, Ga.",Name,Hometown (Prev School),N/A,Hometown (Prev School),womens basketball,clemson
3,Danielle Edwards,"Perry Hall, Md.",N/A,"Perry Hall, Md.",Name,Hometown (Prev School),N/A,Hometown (Prev School),womens basketball,clemson
4,Keniece Purvis,"Greensboro, N.C.",N/A,"Greensboro, N.C.",Name,Hometown (Prev School),N/A,Hometown (Prev School),womens basketball,clemson
5,Aliyah Collier,"Augusta, Ga.",N/A,"Augusta, Ga.",Name,Hometown (Prev School),N/A,Hometown (Prev School),womens basketball,clemson
6,Destiny Thomas,"Pelham, Ga.",N/A,"Pelham, Ga.",Name,Hometown (Prev School),N/A,Hometown (Prev School),womens basketball,clemson
