,name,hometown,high school?,sport,college
0,Mike Okauru,"Raleigh, N.C.",Brewster Academy,mens basketball,florida
1,Chase Johnson,"Ripley, W.V.",Huntington Prep,mens basketball,florida
2,Isaiah Stokes,"Memphis, Tenn.",IMG Academy,mens basketball,florida
3,Jalen Hudson,"Richmond, Va.",Virginia Tech,mens basketball,florida
4,KeVaughn Allen,"Little Rock, Ark.",North Little Rock,mens basketball,florida
5,Gorjok Gak,"Sydney, Australia",Victory Rock Prep,mens basketball,florida
6,Kevarrius Hayes,"Live Oak, Fla.",Suwannee,mens basketball,florida
7,Mak Krause,"Atlanta, Ga.",St. Pius X Catholic,mens basketball,florida
8,Dontay Bassett,"Oakland, Calif.",Oldsmar Christian,mens basketball,florida
9,Andrew Fava,"Baltimore, Md.",Loyola Blakefield,mens basketball,florida
10,Deaundrae Ballard,"Atlanta, Ga.",Southwest Atlanta Christian Academy,mens basketball,florida
11,Keith Stone,"Deerfield Beach, Fla.",Zion Lutheran,mens basketball,florida
12,Delicia Washington,"Macclenny, FL",Baker County,womens basketball,florida
13,Funda Nakkasoglu,"Hampton, Australia",St. Leonard’s,womens basketball,florida
14,Corey Staples,"Buford, Ga.",Buford HS,womens basketball,florida
15,Elif Portakal,"Istanbul, Turkey",Ugur,womens basketball,florida
16,Danielle Rainey,"Washington, D.C.",Vista Ridge (TX),womens basketball,florida
17,Zada Williams,"Babson Park, FL",Lake Wales,womens basketball,florida
18,Stephanie Brower,"Wesley Chapel, FL",Wiregrass Ranch,womens basketball,florida
19,Connor Churchill,"Palm Harbor, Fla.",East Lake,baseball,florida
20,Cal Greenfield,"Chicago, Ill.",Jensen Beach (Fla.),baseball,florida
21,Garrett Milchin,"Windermere, Fla.",The First Academy,baseball,florida
22,Brady McConnell,"Merritt Island, Fla.",Merritt Island,baseball,florida
23,Shane Shifflett,"Venice, Fla.",Venice Senior,baseball,florida
24,Jonathan India,"Coral Springs, Fla.",American Heritage,baseball,florida
25,Deacon Liput,"Oviedo, Fla.",Oviedo,baseball,florida
26,Brady Smith,"Niceville, Fla.",TNXL Academy,baseball,florida
27,Colton Gordon,"Bradenton, Fla.",Lakewood Ranch,baseball,florida
28,Jonah Girand,"Winter Park, Fla.",Edgewater (Seminole State CC),baseball,florida
29,Blake Reese,"Tallahassee, Fla.",Lincoln,baseball,florida
30,Jose Ciccarello,"Tampa, Fla.",Alonso,baseball,florida
31,Jordan Butler,"Tampa, Fla.",Alonso,baseball,florida
32,Wil Dalton,"Spring Hill, Tenn.",Summit (Columbia State CC),baseball,florida
33,Michael Byrne,"Orlando, Fla.",Olympia,baseball,florida
34,Tyler Dyson,"Bradenton, Fla.",Braden River,baseball,florida
35,Nick Blasucci,"Fort Myers, Fla.",Riverdale (Tallahassee CC),baseball,florida
36,JJ Schwarz,"Palm Beach Gardens, Fla.",Palm Beach Gardens,baseball,florida
37,Jack Leftwich,"Orlando, Fla.",TNXL Academy,baseball,florida
38,Hunter McMullen,"Ocala, Fla.",Forest,baseball,florida
39,Nick Horvath,"Jupiter, Fla.",Palm Beach Gardens (Santa Fe),baseball,florida
40,Nelson Maldonado,"Tampa, Fla.",Jefferson,baseball,florida
41,Hunter Ruth,"Gainesville, Fla.",Buchholz,baseball,florida
42,Felix Garcia,"Miami, Fla.",Miami Palmetto Senior (FSCJ CC),baseball,florida
43,Keenan Bell,"Jacksonville, Fla.",Episcopal,baseball,florida
44,Nick Long,"Sarasota, Fla.",Sarasota,baseball,florida
45,Andrew Baker,"Haines City, Fla.",Ridge Community,baseball,florida
46,Cole Maye,"Huntersville, N.C.",Hough,baseball,florida
47,Jackson Kowar,"Charlotte, N.C.",Charlotte Christian,baseball,florida
48,Austin Langworthy,"Williston, Fla.",Williston,baseball,florida
49,Tommy Mace,"Tampa, Fla.",Sunlake,baseball,florida
50,Brady Singer,"Eustis, Fla.",Eustis,baseball,florida
51,Kirby McMullen,"Ocala, Fla.",Forest,baseball,florida
52,Brad Stewart,"New Orleans, LA",McDonogh,football,florida
53,Marco Wilson,"Fort Lauderdale, FL",American Heritage,football,florida
54,CJ Henderson,"Miami, FL",Columbus,football,florida
55,Brian Edwards,"Hollywood, FL",Miramar,football,florida
56,Dre Massey,"Greenville, SC",Mauldin,football,florida
57,Josh Hammond,"Hallandale, FL",Hallandale,football,florida
58,Vosean Joseph,"Miami, FL",Norland,football,florida
59,Kyle Trask,"Manvel, TX",Manvel,football,florida
60,C.J. McWilliams,"Miami, FL",Southwest,football,florida
61,Feleipe Franks,"Crawfordville, FL",Wakulla,football,florida
62,Donovan Stiner,"Houston, TX",Bellaire,football,florida
63,Emory Jones,"LaGrange, Ga.",Heard County,football,florida
64,Freddie Swain,"Ocala, FL",North Marion,football,florida
65,Kadarius Toney,"Mobile, AL",Blount,football,florida
66,Daquon Green,"Tampa, FL",Tampa Bay Tech,football,florida
67,Jack Ruskell,"Libertyville, IL",Libertyville,football,florida
68,Malik Davis,"Tampa, FL",Jesuit,football,florida
69,Lamical Perine,"Mobile, AL",Theodore,football,florida
70,Chauncey Gardner-Johnson,"Cocoa, FL",Cocoa,football,florida
71,Iverson Clement,"Mount Holly, N.J.",Rancocas Valley Regional,football,florida
72,Erik Askeland,"Indian Harbour Beach, FL",Satellite,football,florida
73,Jordan Scarlett,"Fort Lauderdale, FL",St. Thomas Aquinas,football,florida
74,Robert Clay,N/A,St. Thomas Aquinas,football,florida
75,Quincy Lenton,"Meridian, MS",Meridian,football,florida
76,Joshua Tse,"Port Orange, FL",Spruce Creek,football,florida
77,Kylan Johnson,"Dallas, TX",Skyline,football,florida
78,Dameon Pierce,"Bainbridge, Ga.",Bainbridge,football,florida
79,Jeawon Taylor,"Montgomery, AL",Park Crossing,football,florida
80,Amari Burney,N/A,Park Crossing,football,florida
81,Shawn Davis,"Miami, FL",Southridge,football,florida
82,Adarius Lemons,"Clearwater, FL",Clearwater,football,florida
83,David Reese,"Farmington, MI",Farmington,football,florida
84,Lacedrick Brunson,"Miami, FL",Miami Jackson,football,florida
85,Trey Dean III,"Hampton, Ga.",Dutchtown,football,florida
86,Dennis Gross,N/A,Dutchtown,football,florida
87,Tyriek Hopkins,"St. Petersburg, FL",Lakewood,football,florida
88,Patrick Moorer,"Lutz, FL",Lake Travis,football,florida
89,Anthony Giglia,"Clermont, FL",South Lake,football,florida
90,Nick Oelrich,"Newberry, FL",Newberry,football,florida
91,Jacob Mesenger,"Sunrise, FL",Piper,football,florida
92,Brady  Walters,N/A,Piper,football,florida
93,Nick Smith,"Orlando, FL",Dr. Phillips,football,florida
94,Ryan Farr,"Henderson, NV",Coronado,football,florida
95,James Houston IV,"Fort Lauderdale, FL",American Heritage,football,florida
96,Nick Sproles,"Winter Park, FL",Winter Park,football,florida
97,Glenn Jarriel,"Okeechobee, FL",Glades Day,football,florida
98,Nicolas Sutton,N/A,Glades Day,football,florida
99,Rayshad Jackson,"Miami, FL",Miami Norland,football,florida
100,R.J. Raymond,"Atlantic Beach, FL",Fletcher,football,florida
101,Harry Gornto V,"Fort Walton Beach, FL",Choctawhatchee,football,florida
102,Will Thomas,"Dunnellon, FL",Dunnellon,football,florida
103,Austin Perry,"Orlando, FL",Jones,football,florida
104,Isaac Ricks,"Jacksonville, FL",Terry Parker,football,florida
105,Brett DioGuardi,"Windermere, FL",Windermere Prep,football,florida
106,Jacob Tilghman,"Daytona Beach, FL",Mainland,football,florida
107,Jeremiah Moon,"Hoover, AL",Hoover,football,florida
108,Ventrell Miller,"Lakeland, FL",Kathleen,football,florida
109,Quaylin Crum,"Orlando, FL",University,football,florida
110,Brendan Ackerman,"Ocala, FL",Forest,football,florida
111,Kavaris Harkless,"Jacksonville, FL",Trinity Christian Academy,football,florida
112,Khairi Clark,"Hollywood, FL",Chaminade-Madonna,football,florida
113,Noah Banks,N/A,Chaminade-Madonna,football,florida
114,Kyree Campbell,"Woodbridge, VA",Woodbridge,football,florida
115,Jean DeLance,"Mesquite, Texas",North Mesquite,football,florida
116,Tedarrell Slaton,"Fort Lauderdale, FL",American Heritage,football,florida
117,Elijah Conliffe,"Hampton, VA",Hampton,football,florida
118,Jahim Lawrence,"Hollywood, FL",Miami Norland,football,florida
119,T.J. McCoy,"Clermont, FL",South Lake,football,florida
120,Danny Weldon,"Tampa, FL",Tampa Catholic,football,florida
121,Houston Underwood,N/A,Tampa Catholic,football,florida
122,Brett Heggie,"Mount Dora, FL",Mount Dora,football,florida
123,James  Washington,"Jacksonville, FL",Trinity Christian Academy,football,florida
124,Tyler Jordan,"Jacksonville, FL",Bishop Kenny,football,florida
125,Jawaan Taylor,"Cocoa, FL",Cocoa,football,florida
126,Nick Buchanan,"Dunwoody, GA",Dunwoody,football,florida
127,Christopher Bleich,"Hanover Township, Pa.",Wyoming Valley West,football,florida
128,Tanner Rowell,"Melbourne, FL",Melbourne,football,florida
129,Chris Howard,"Ponte Vedra Beach, FL",Ponte Vedra,football,florida
130,Nick Villano,"Wellington, FL",American Heritage,football,florida
131,Stone Forsythe,"Winter Garden, FL",West Orange,football,florida
132,Martez Ivey,"Apopka, FL",Apopka,football,florida
133,Fred Johnson,"West Palm Beach, FL",Royal Palm Beach,football,florida
134,T.J. Moore,"Charlotte, NC",Mallard Creek,football,florida
135,Daniel Justino,"Green Cove Springs, FL",Middleburg,football,florida
136,C'yontai Lewis,"Eutaw, AL",Kingwood Christian,football,florida
137,Trevon Grimes,"Fort Lauderdale, Fla.",St. Thomas Aquinas,football,florida
138,Moral Stephens,"Perry, FL",Taylor County,football,florida
139,Rick Wells,"Jacksonville, FL",Raines,football,florida
140,Trey Thompson,"Jupiter, FL",William T. Dwyer,football,florida
141,Jacob Finn,"Jacksonville, FL",Paxon School,football,florida
142,Andres  Saldivar,"Miami, FL",Coral Gables Senior,football,florida
143,Van Jefferson,"Brentwood, Tenn.",Ravenwood,football,florida
144,Kemore Gamble,"Miami, FL",Miami Southridge,football,florida
145,Tommy Townsend,"Orlando, FL",Boone,football,florida
146,Tyrie Cleveland,"Houston, TX",Westfield,football,florida
147,Antonneous Clayton,"Vienna, GA",Dooly County,football,florida
148,Marlon Dunlap Jr.,"Charlotte, N.C.",West Charlotte,football,florida
149,Jabari Zuniga,"Marietta, GA",Sprayberry,football,florida
150,Moses Gordon,N/A,Sprayberry,football,florida
151,Zachary Carter,"Tampa, FL",Hillsborough,football,florida
152,Keivonnis Davis,"Miami, FL",Miami Central,football,florida
153,Cece Jefferson,"Glen St. Mary, FL",Baker County,football,florida
154,Jon Gould,"Elkridge, MD",Howard,football,florida
155,Luke Ancrum,"Sebring, FL",Sebring,football,florida
156,Jorge Powell,"Coral Gables, FL",Belen Jesuit Prep,football,florida
157,Jachai Polite,"Daytona Beach, FL",Mainland,football,florida
158,"Andrew Chatfield, Jr.",N/A,Mainland,football,florida
159,Richard Gouraige,N/A,Mainland,football,florida
160,Griffin McDowell,"Leesburg, Ga.",Lee County,football,florida
161,David Reese,N/A,Lee County,football,florida
162,Samantha Chung,"Boynton Beach, Fla.",Oxbridge Academy,womens soccer,florida
163,Gabby Seiler,"Peachtree City, Ga.",McIntosh H.S. / Georgia,womens soccer,florida
164,Jessie Holmes,"Los Gatos, Calif.",Los Gatos H.S.,womens soccer,florida
165,Danielle Van Liere,"Jacksonville, Fla.",Fletcher H.S.,womens soccer,florida
166,Melanie Monteagudo,"Pembroke Pines, Fla.",American Heritage Plantation H.S.,womens soccer,florida
167,Kit Loferski,"St. Augustine, Fla.",Bartram Trail H.S.,womens soccer,florida
168,Brittney Bennett,"Grayson, Ga.",Grayson H.S.,womens soccer,florida
169,Cassie Owens,"Superior, Colo.",Monarch H.S.,womens soccer,florida
170,Samantha Earle,"Key Biscayne, Fla.",Gulliver Prep,womens soccer,florida
171,Tess Sapone,N/A,Gulliver Prep,womens soccer,florida
172,Briana Solis,"Orlando, Fla.",University H.S.,womens soccer,florida
173,Sammie Betters,"Brooksville, Fla.",Frank W. Springstead H.S.,womens soccer,florida
174,Alyssa Howell,"Farmersville, Ohio",Valley View H.S.,womens soccer,florida
175,Madison  Alexander,"Dorr, Mich.",Hamilton H.S,womens soccer,florida
176,Sarah Troccoli,"Troy, Mich.",Troy H.S.,womens soccer,florida
177,Ailey  Tebbett,"Gainesville, Fla.",Oak Hall School,womens soccer,florida
