,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
0,Alan Griffin,"Ossining, N.Y.",N/A,Archbishop Stepinac,Name,Hometown,N/A,Previous School,mens basketball,illinois
1,Trent Frazier,"Wellington, Fla.",N/A,Wellington,Name,Hometown,N/A,Previous School,mens basketball,illinois
2,Kipper Nichols,"Cleveland, Ohio",N/A,St. Edward,Name,Hometown,N/A,Previous School,mens basketball,illinois
3,Drew Cayce,"Libertyville, Ill.",N/A,Creighton,Name,Hometown,N/A,Previous School,mens basketball,illinois
4,Zach Griffith,"Fisher, Ill.",N/A,Fisher,Name,Hometown,N/A,Previous School,mens basketball,illinois
5,Tevian Jones,"Chandler, Ariz.",N/A,Culver City (Calif.),Name,Hometown,N/A,Previous School,mens basketball,illinois
6,Andres Feliz,"Guachupita, Dominican Republic",N/A,Northwest Florida State,Name,Hometown,N/A,Previous School,mens basketball,illinois
7,Ayo Dosunmu,"Chicago, Ill.",N/A,Morgan Park,Name,Hometown,N/A,Previous School,mens basketball,illinois
8,Adonis De La Rosa,"The Bronx, N.Y.",N/A,Kent State,Name,Hometown,N/A,Previous School,mens basketball,illinois
9,Giorgi Bezhanishvili,"Rustavi, Georgia",N/A,The Patrick School (N.J.),Name,Hometown,N/A,Previous School,mens basketball,illinois
10,Da'Monte Williams,"Peoria, Ill.",N/A,Manual,Name,Hometown,N/A,Previous School,mens basketball,illinois
11,Anthony Higgs,"Baltimore, Md.",N/A,Perry Hall,Name,Hometown,N/A,Previous School,mens basketball,illinois
12,Aaron Jordan,"Plainfield, Ill.",N/A,East,Name,Hometown,N/A,Previous School,mens basketball,illinois
13,Tyler Underwood,"Champaign, Ill.",N/A,Oklahoma State,Name,Hometown,N/A,Previous School,mens basketball,illinois
14,Samba Kane,"Dakar, Senegal",N/A,Florida Prep Academy,Name,Hometown,N/A,Previous School,mens basketball,illinois
15,Samson Oladimeji,"Rolling Meadows, Ill.",N/A,Fremd,Name,Hometown,N/A,Previous School,mens basketball,illinois
0,J-Naya Ephraim,"St. Croix, U.S. Virgin Islands",Southern Durham High School,Southern Durham High School,Name,Hometown,High School,High School,womens basketball,illinois
1,Brandi Beasley,"Memphis, Tenn.",Ridgeway,Ridgeway,Name,Hometown,High School,High School,womens basketball,illinois
