,name,hometown,high school?,sport,college
0,Maishe Dailey,"Beachwood, OH",Beachwood,mens basketball,iowa
1,Jack Nunge,"Newburgh, IN",Castle,mens basketball,iowa
2,Jordan Bohannon,"Marion, IA",Linn-Mar,mens basketball,iowa
3,Isaiah Moss,"Chicago, IL",Simeon,mens basketball,iowa
4,Austin Ash,"Cedar Rapids, IA",Mount Vernon,mens basketball,iowa
5,Ryan Kriener,"Spirit Lake, IA",Spirit Lake,mens basketball,iowa
6,Riley Till,"Dubuque, IA",Wahlert,mens basketball,iowa
7,Tyler Cook,"St. Louis, MO",Chaminade Prep,mens basketball,iowa
8,Connor McCaffery,"Iowa City, IA",West,mens basketball,iowa
9,Cordell Pemsl,"Dubuque, IA",Wahlert,mens basketball,iowa
10,Nicholas Baer,"Bettendorf, IA",Bettendorf,mens basketball,iowa
11,Luka Garza,"Washington, D.C.",Maret School,mens basketball,iowa
12,Tomi Taiwo,"Carmel, Ind.",Carmel,womens basketball,iowa
13,Makenzie Meyer,"Mason City, Iowa",Mason City,womens basketball,iowa
14,Alexis Sevillian,"Goodrich, Mich.",Goodrich,womens basketball,iowa
15,Megan Gustafson,"Port Wing, Wis.",South Shore,womens basketball,iowa
16,Tania Davis,"Flint, Mich.",Goodrich,womens basketball,iowa
17,Kate Martin,"Edwardsville, Ill.",Edwardsville,womens basketball,iowa
18,Hannah Stewart,"Minot, N.D.",Bishop Ryan Catholic,womens basketball,iowa
19,Kathleen Doyle,"LaGrange Park, Ill.",Benet Academy,womens basketball,iowa
20,Logan Cook,"Iowa City, Iowa",West,womens basketball,iowa
21,Zion Sanders,"Evansville, Ind.",Central,womens basketball,iowa
22,Monika Czinano,"Watertown, Minn.",Watertown-Mayer,womens basketball,iowa
23,Paula Valiño Ramos,"Ourense, Spain",IES Otero Pedrayo,womens basketball,iowa
24,Amanda Ollinger,"Cedar Rapids, Iowa",Linn-Mar,womens basketball,iowa
25,Lorenzo Elion,"Chicago, Ill.",Simeon Academy,baseball,iowa
26,Mitchell Boe,"Naperville, Ill",Joilet Catholic,baseball,iowa
27,Justin Jenkins,"Terre Haute, Ind.",Terre Haute South,baseball,iowa
28,Grant  Judkins,"Pella, Iowa",Pella,baseball,iowa
29,Luke Farley,"Denver, Iowa",Waterloo Columbus,baseball,iowa
30,Ben  Norman,"Des Moines, Iowa",Roosevelt,baseball,iowa
31,Derek Lieurance,"Cascade, Iowa",Cascade,baseball,iowa
32,Cole McDonald,"New Hampton, Iowa",New Hampton,baseball,iowa
33,Matt Berst,"Cedar Rapids, Iowa",Cedar Rapids Kennedy,baseball,iowa
34,Zion Pettigrew,"Chicago, Ill.",Mount Carmel,baseball,iowa
35,Tanner Wetrich,"Moberly, Mo.",Moberly,baseball,iowa
36,Shane Ritter,"Plainfield, Ill.",Plainfield South,baseball,iowa
37,Ben  Probst,"Urbandale, Iowa",Dowling Catholic,baseball,iowa
38,Kyle  Crowl,"Council Bluffs, Iowa",Abraham Lincoln,baseball,iowa
39,Chris  Whelan,"Naperville, Ill.",Benet,baseball,iowa
40,Connor McCaffery,"North Liberty, Iowa",Iowa City West,baseball,iowa
41,Brett McCleary,"Iowa City, Iowa",City High,baseball,iowa
42,Jack  Dreyer,"Johnston, Iowa",Johnston,baseball,iowa
43,Cam Baumann,"Fairfield, Iowa",Fairfield,baseball,iowa
44,Kace  Massner,"Burlington, Iowa",Burlington,baseball,iowa
45,Trenton Wallace,"Rock Island, Ill.",Davenport Assumption,baseball,iowa
46,Grant Leonard,"Mokena, Ill.",Lincoln Way,baseball,iowa
47,Kyle Shimp,"Yorkville, Ill.",Yorkville,baseball,iowa
48,Wes Dvorak,"Parkston, South Dakota",Parkston,football,iowa
49,Ryan Gersonde,"Milwaukee, Wisconsin",Marquette University HS,football,iowa
50,Peyton Mansell,"Belton, Texas",Belton,football,iowa
51,Trey Creamer,"Cartersville, Georgia",Cartersville,football,iowa
52,Keith Duncan,"Weddington, North Carolina",Weddington,football,iowa
53,Nate Stanley,"Menomonie, Wisconsin",Menomonie,football,iowa
54,Josh Turner,"Delray Beach, Florida",American Heritage,football,iowa
55,Manny Rugamba,"Naperville, Illinois",Naperville Central,football,iowa
56,Max Duchow,"Pewaukee, Wisconsin",Kettle Moraine,football,iowa
57,Ihmir Smith-Marsette,"Newark, New Jersey",Weequahic,football,iowa
58,Spencer Petras,"San Rafael, California",Marin Catholic,football,iowa
59,Colten Rastetter,"Guttenberg, Iowa",Clayton Ridge,football,iowa
60,Matt Hankins,"Lewisville, Texas",Marcus,football,iowa
61,Geno Stone,"New Castle, Pennsylvania",Senior,football,iowa
62,Camron Harrell,"Bourbannais, Illinois",Bradley-Bourbannais,football,iowa
63,Michael Ojemudia,"Farmington Hills, Michigan",Harrison,football,iowa
64,Brandon Smith,"Lake Cormorant, Mississippi",Lake Cormorant,football,iowa
65,Henry Marchese,"Vernon Hills, Illinois",Stevenson,football,iowa
66,Kyle Groeneweg,"Inwood, Iowa",West Lyon,football,iowa
67,Kyshaun  Bryan,"Fort Lauderdale, Florida",St. Thomas Aquinas,football,iowa
68,Ryan Schmidt,"Linn-Mar, Iowa",Linn-Mar,football,iowa
69,Drew Cook,N/A,N/A,football,iowa
70,John Milani,"Iowa City, Iowa",West,football,iowa
71,Max Cooper,"Waukesha, Wisconsin",Catholic Memorial,football,iowa
72,Ivory Kelly-Martin,"Plainfield, Illinois",Oswego East,football,iowa
73,Toks Akinribade,"Brownsburg, Indiana",Brownsburg,football,iowa
74,Dominique Dafney,"West Des Moines, Iowa",Valley,football,iowa
75,Amani Hooker,"Minneapolis, Minnesota",Park Center,football,iowa
76,Jack Koerner,"Des Moines, Iowa",Dowling,football,iowa
77,Toren Young,"Madison, Wisconsin",Monona Grove,football,iowa
78,Nate Wieland,"Iowa City, Iowa",Iowa City,football,iowa
79,Jake Gervase,"Davenport, Iowa",Assumption,football,iowa
80,Aaron Mends,"Kansas City, Missouri",Winnetonka,football,iowa
81,Djimon Colbert,"Shawnee Mission, Kansas",Bishop Miege,football,iowa
