,name,hometown,high school?,sport,college
0,"Barry Brown, Jr.","St. Petersburg, Fla.",Gibbs,mens basketball,kansas_state
1,Cartier Diarra,"Florence, S.C.",West Florence,mens basketball,kansas_state
2,James Love III,"Fort Lauderdale, Fla.",American Heritage,mens basketball,kansas_state
3,Makol Mawien,"West Valley City, Utah",Granger,mens basketball,kansas_state
4,Pierson McAtee,"Manhattan, Kan.",Manhattan,mens basketball,kansas_state
5,Mike McGuirl,"Ellington, Conn.",East Catholic,mens basketball,kansas_state
6,Patrick Muldoon,"Basehor, Kan.",Basehor-Linwood,mens basketball,kansas_state
7,Shaun Neal-Williams,"St. Louis, Mo.",Hazelwood Central,mens basketball,kansas_state
8,Nigel Shadd,"Mesa, Ariz.",Tri-City Christian Academy,mens basketball,kansas_state
9,Xavier Sneed,"St. Louis, Mo.",Hazelwood Central,mens basketball,kansas_state
10,Levi Stockard III,"St. Louis, Mo.",Vashon,mens basketball,kansas_state
11,Kamau Stokes,"Baltimore, Md.",City College,mens basketball,kansas_state
12,Austin Trice,"Chicago, Ill.",Hale Franciscan,mens basketball,kansas_state
13,Dean Wade,"St. John, Kan.",St. John,mens basketball,kansas_state
14,Sarah Bates,"Fresno, Calif.",Clovis West HS,womens basketball,kansas_state
15,Jasauen Beard,"Midwest City, Okla.",Midwest City HS,womens basketball,kansas_state
16,Christianna Carr,"Manhattan, Kan.",Manhattan,womens basketball,kansas_state
17,Cymone Goodrich,"Chicago, Ill.",South Shore International Prep,womens basketball,kansas_state
18,Kayla Goth,"DeForest, Wis.",DeForest HS,womens basketball,kansas_state
19,Kali Jones,"Murrieta, Calif.",Murrieta,womens basketball,kansas_state
20,Maary Lakes,"Peoria, Ill.",Manual,womens basketball,kansas_state
21,Ayoka Lee,"Byron, Minn.",Byron,womens basketball,kansas_state
22,Laura Macke,"Baileyville, Kan.",Nemaha Central HS,womens basketball,kansas_state
23,Rachel Ranke,"Burnsville, Minn.",Eastview,womens basketball,kansas_state
24,Ashley Ray,"Girard, Kan.",Girard HS,womens basketball,kansas_state
25,Savannah Simmons,"Bel Air, Md.",The John Carroll School,womens basketball,kansas_state
26,Alisa Wiggins,"Montclair, N.J.",Montclair HS,womens basketball,kansas_state
27,Peyton  Williams,"Topeka, Kan.",Cair Paravel Latin School,womens basketball,kansas_state
28,Rainer Ausmus,"Klein, Texas",Klein HS,baseball,kansas_state
29,Luke Bay,"McKinney, Texas",McKinney North HS,baseball,kansas_state
30,Alex Belch,"Rochester, Minn.",John Marshall HS,baseball,kansas_state
31,Jeffrey Boggess,"Corpus Christi, Texas",Veterans Memorial HS,baseball,kansas_state
32,Will Brennan,"Stilwell, Kan.",Blue Valley HS,baseball,kansas_state
33,Blake Burrows,"Weatherford, Texas",Weatherford HS,baseball,kansas_state
34,Justin Butz,"McKinney, Texas",Heritage HS,baseball,kansas_state
35,Mason Crews,"Manteno, Ill.",Manteno HS,baseball,kansas_state
36,Tyler Eckberg,"Edina, Minn.",Edina HS,baseball,kansas_state
37,Kasey Ford,"Bella Vista, Ark.",Bentonville HS,baseball,kansas_state
38,Griffin Hassall,"Newmarket, Ontario, Canada",Bill Crothers Secondary School,baseball,kansas_state
39,Luke Hauswirth,"Nixa, Mo.",Nixa HS,baseball,kansas_state
40,Brogan Heinen,"Topeka, Kan.",Hayden HS,baseball,kansas_state
41,Gavin Hinchliffe,"Pottsville, Pa.",Pottsville HS,baseball,kansas_state
42,Thomas Hughes,"Manhattan, Kan.",Norman North HS,baseball,kansas_state
43,Zach Kokoska,"Latrobe, Pa.",Greater Latrobe HS,baseball,kansas_state
44,Caleb Littlejim,"Little Axe, Okla.",Christian Heritage Academy,baseball,kansas_state
45,Brayden Lloyd,"Owasso, Okla.",Owasso HS,baseball,kansas_state
46,Brett Lockwood,"Temecula, Calif.",Murrieta Valley HS,baseball,kansas_state
47,Jared Maneth,"Great Bend, Kan.",Great Bend HS,baseball,kansas_state
48,Joey Martin,"Comfort, Texas",Comfort HS,baseball,kansas_state
49,Jordan Maxson,"Wichita, Kan.",Maize South HS,baseball,kansas_state
50,Brett Owen,"Blanchard, Okla.",Blanchard HS,baseball,kansas_state
51,Jaxon Passino,"St Louis, Mo.",Rockwood Summit HS,baseball,kansas_state
52,Dylan Phillips,"Omaha, Neb.",Creighton Preparatory School,baseball,kansas_state
53,Quinton Potter,"Moorpark, Calif.",Moorpark HS,baseball,kansas_state
54,Daniel Powers,"Coal Valley, Ill.",Assumption HS,baseball,kansas_state
55,Carson Seymour,"Temecula, Calif.",Great Oak HS,baseball,kansas_state
56,Terrence Spurlin,"Cypress, Texas",Concordia Lutheran HS,baseball,kansas_state
57,Andrew Stratman,"Salina, Kan.",Central HS,baseball,kansas_state
58,Cameron Thompson,"Pasadena, Texas",Deer Park HS,baseball,kansas_state
59,Eric Torres,"Milwaukee, Wis.",Hamilton HS,baseball,kansas_state
60,Jordan Wicks,"Conway, Ark.",Conway HS,baseball,kansas_state
61,Bobby Wood,"Sunnyvale, Calif.",Homestead HS,baseball,kansas_state
62,Mitch Zubradt,"Shawnee, Kan.",St. James Academy,baseball,kansas_state
63,Kendall Adams,"Fort Worth, Texas",All Saints Episcopal,football,kansas_state
64,Ben Adler,"Wichita, Kan.",Trinity Academy,football,kansas_state
