,name,hometown,high school?,sport,college
0,Quade Green,N/A,N/A,mens basketball,kentucky
1,Ashton Hagans,"Cartersville, Ga.",Newton,mens basketball,kentucky
2,Keldon Johnson,"South Hill, Va.",Oak Hill Academy,mens basketball,kentucky
3,Nick  Richards,"Kingston, Jamaica",The Patrick School,mens basketball,kentucky
4,Immanuel  Quickley,"Havre de Grace, Md.",The John Carroll School,mens basketball,kentucky
5,Jonny David,N/A,N/A,mens basketball,kentucky
6,Brad Calipari,"Franklin Lakes, N.J.",MacDuffie School,mens basketball,kentucky
7,Jemarl  Baker Jr.,"Menifee, Calif.",Eleanor Roosevelt,mens basketball,kentucky
8,Tyler Herro,N/A,N/A,mens basketball,kentucky
9,Zan Payne,"Lexington, Ky.",Lexington Catholic,mens basketball,kentucky
10,Reid Travis,N/A,N/A,mens basketball,kentucky
11,EJ Montgomery,"Fort Pierce, Fla.",Wheeler,mens basketball,kentucky
12,PJ  Washington,N/A,N/A,mens basketball,kentucky
13,Ogechi Anyagaligbo,"Miami, Fla.",Miami Country Day HS,womens basketball,kentucky
14,Nae Nae Cole,"Gainesville, Va.",Paul VI HS,womens basketball,kentucky
15,Blair Green,"Harlan, Ky.",Harlan County HS,womens basketball,kentucky
16,Sabrina Haines,"Phoenix, Ariz.",Desert Vista HS,womens basketball,kentucky
17,LaShae Halsel,"Bowling Green, Ky.",Warren Central HS,womens basketball,kentucky
18,Dorie Harrison,"Nashville, Tenn.",Hillsboro HS,womens basketball,kentucky
19,Rhyne Howard,"Cleveland, Tenn.",Bradley Central HS,womens basketball,kentucky
20,KeKe McKinney,"Knoxville, Tenn.",Fulton HS,womens basketball,kentucky
21,Maci Morris,"Pineville, Ky.",Bell County HS,womens basketball,kentucky
22,Taylor Murray,"Odenton, Md.",Annapolis Area Christian HS,womens basketball,kentucky
23,Amanda Paschal,"Brooklyn, N.Y.",Chipley HS,womens basketball,kentucky
24,Paige Poffenberger,"Morgantown, W.Va.",Morgantown HS,womens basketball,kentucky
25,Kameron Roach,"Hopkins, S.C.",Lower Richland HS,womens basketball,kentucky
26,Jaida Roper,"Memphis, Tenn.",Houston HS,womens basketball,kentucky
27,Tatyana Wyatt,"Columbus, Ga.",Columbus HS,womens basketball,kentucky
28,Thomas Bennett,"Frankfort, Ky.",Western Hills,baseball,kentucky
29,Carson Coleman,"Lexington, Ky.",Lexington Catholic,baseball,kentucky
30,T.J. Collett,"Terre Haute, Ind.",North Vigo,baseball,kentucky
31,Brad Dobzanski,"Franklinville, N.J.",Delsea Regional,baseball,kentucky
32,Marshall Gei,"Mount Juliet, Tenn.",Mount Juliet,baseball,kentucky
33,Spencer  Harbert,"Middletown, Del.",Middletown,baseball,kentucky
34,Daniel Harper,"Fairway, Kan.",Bishop Miege,baseball,kentucky
35,Mason Hazelwood,"Salvisa, Ky.",Mercer County,baseball,kentucky
36,Cam Hill,"Georgetown, Ky.",Scott County,baseball,kentucky
37,Ryan Johnson,"College Station, Texas",College Station,baseball,kentucky
38,Tanner Johnson,"Crestwood, Ky.",South Oldham,baseball,kentucky
39,Ben  Jordan,"Olive Hill, Ky.",West Carter,baseball,kentucky
40,Coltyn Kessler,"High Ridge, Mo.",Rockwood Summit,baseball,kentucky
41,Zeke Lewis,"Atlanta, Ga.",Mays,baseball,kentucky
42,Trip Lockhart,"Lexington, Ky.",Lexington Catholic,baseball,kentucky
43,Grant Macciocchi,"West Chester Township, Ohio",Moeller,baseball,kentucky
44,Brett Marshall,"Louisville, Ky.",Trinity,baseball,kentucky
45,Aaron McGeorge,"Lexington, Ky.",Henry Clay,baseball,kentucky
46,Jimmy  Ramsey,"Minnetonka, Minn.",Minnetonka,baseball,kentucky
47,Alex Rodriguez,"Pembroke Pines, Fla.",Miramar,baseball,kentucky
48,Ryan Shinn,"Jobstown, N.J.",Northern Burlington County,baseball,kentucky
49,Zack Thompson,"Selma, Ind.",Wapahani,baseball,kentucky
50,Abule Abadi-Fitzgerald,"Lakeland, Fla.",Victory Christian Academy,football,kentucky
51,Tyrell Ajian,"Mansfield, Ohio",Madison Comprehensive,football,kentucky
52,"Marvin ""B.J."" Alexander","Miami Gardens, Fla.",Chaminade-Madonna,football,kentucky
53,Josh Ali,"Hollywood, Fla.",Chaminade-Madonna,football,kentucky
54,Josh Allen,"Montclair, N.J.",Montclair,football,kentucky
55,George Asafo-Adjei,"West Chester, Ohio",Lakota West,football,kentucky
56,"Derrick Baity, Jr.","Tampa, Fla.",H.B. Plant,football,kentucky
57,Dorian Baker,"Cleveland Heights, Ohio",Cleveland Heights,football,kentucky
58,Elijah Barnett,"Lexington, Ky.",Henry Clay,football,kentucky
59,Brenden Bates,"Cincinnati, Ohio",Archbishop Moeller,football,kentucky
60,Tyler Beisner,"Goshen, Ky.",North Oldham,football,kentucky
61,Brayden Berezowitz,"Lexington, Ky.",Henry Clay,football,kentucky
62,Bryan Berezowitz,"Lexington, Ky.",Henry Clay,football,kentucky
63,Zac Berezowitz,N/A,N/A,football,kentucky
64,Blake Best,"Duluth, Ga.",Peachtree Ridge,football,kentucky
65,Quinton Bohanna,"Cordova, Tenn.",Cordova,football,kentucky
66,David Bouvier,"Lexington, Ky.",Lexington Catholic,football,kentucky
67,"Lynn Bowden, Jr.","Youngstown, Ohio",Warren Harding,football,kentucky
68,Immanuel Bowie,"Lexington, Ky.",Tates Creek,football,kentucky
69,Jamari Brown,"Sunrise, Fla.",Blanche Ely,football,kentucky
70,Miles Butler,"Paducah, Ky.",Tilghman,football,kentucky
71,T.J. Carter,"Mableton, Ga.",Whitefield Academy,football,kentucky
72,Danny Clark,"Columbus, Ohio",Archbishop Hoban,football,kentucky
73,C.J. Conrad,"LaGrange, Ohio",Keystone,football,kentucky
74,Yusuf Corker,"McDonough, Ga.",Woodland,football,kentucky
75,Tyler Couch,"Paintsville, Ky.",Paintsville,football,kentucky
76,Will Crum,"Louisville, Ky.",St. Xavier,football,kentucky
77,John Daido,"Vienna, Va.",Oakton,football,kentucky
78,"Allen Dailey, Jr.","Pinson, Ala.",Pinson Valley,football,kentucky
79,Kash Daniel,"Paintsville, Ky.",Paintsville,football,kentucky
80,Kengera Daniel,"Raleigh, N.C.",Millbrook,football,kentucky
81,Jamin Davis,"Ludowici, Ga.",Long County,football,kentucky
82,Sebastien Dolcine,"Hollywood, Fla.",Miramar,football,kentucky
83,"Cedrick Dort, Jr.","Palm Beach Gardens, Fla.",Dwyer,football,kentucky
84,Austin Dotson,"Belfry, Ky.",Belfry,football,kentucky
85,Tymere Dubose,"Youngstown, Ohio",Youngstown Christian,football,kentucky
86,Max Duffy,"Perth, Australia",Curtin/Kent Street,football,kentucky
87,Darren Edmond,"Norman, Okla.",Paul Laurence Dunbar (Ky.),football,kentucky
