,name,hometown,high_school,gender,sport,college
0,Naz Reid,"Asbury Park, N.J.",Roselle Catholic HS,N/A,mens basketball,lsu
1,Ja'vonte Smart,"Baton Rouge, La.",Scotlandville Magnet HS,N/A,mens basketball,lsu
2,Tremont Waters,"New Haven, Conn.",Notre Dame HS,N/A,mens basketball,lsu
3,Skylar Mays,"Baton Rouge, La.",Findlay Prep,N/A,mens basketball,lsu
4,Daryl Edwards,"Fresno, Calif.",Fresno Central HS,N/A,mens basketball,lsu
5,Kavell Bigby-Williams,"London, England",Harris Academy Beckenham,N/A,mens basketball,lsu
6,Marshall Graves,"Ponchatoula, La.",University Lab School,N/A,mens basketball,lsu
7,Will Reese,"Leesville, La.",Anacoco HS,N/A,mens basketball,lsu
8,Marlon Taylor,"Mount Vernon, N.Y.",Mount Vernon HS,N/A,mens basketball,lsu
9,Aundre Hyatt,"Bronx, N.Y.",Miller School,N/A,mens basketball,lsu
10,Danya Kingsby,"Milwaukee, Wisc.",Arlington Country Day Prep,N/A,mens basketball,lsu
11,Courtese Cooper,"Elgin, Ill.",Elgin HS,N/A,mens basketball,lsu
12,Darius Days,"Raleigh, Fla.",IMG Academy,N/A,mens basketball,lsu
13,Emmitt Williams,"Fort Myers, Fla.",Oak Ridge HS,N/A,mens basketball,lsu
14,Wayde Sims,"Baton Rouge, La.",University HS,N/A,mens basketball,lsu
0,Jailin Cherry,"Pascagoula, Miss.",Pascagoula HS,N/A,womens basketball,lsu
1,Shanice Norton,"London, England",Potter's House Christian Academy,N/A,womens basketball,lsu
2,Khayla Pointer,"Kennesaw, Ga.",Holy Innocents' Episcopal HS,N/A,womens basketball,lsu
3,Raven Farley,"Elizabeth, N.J.",Queen of Peace HS,N/A,womens basketball,lsu
4,Ayana Mitchell,"Conyers, Ga.",Salem HS,N/A,womens basketball,lsu
5,Jaelyn Richard-Harris,"Houston, Texas",Dekaney HS,N/A,womens basketball,lsu
6,Yasmine Bidikuindila,"Montreal, Quebec, Canada",Champlain College,N/A,womens basketball,lsu
7,Karli Seay,"Flossmor, Ill.",Homewood-Flossmor HS,N/A,womens basketball,lsu
8,Faustine Aifuwa,"Dacula, Ga.",Dacula HS,N/A,womens basketball,lsu
9,Rakell Spencer,"New Orleans, La.",Cabrini HS,N/A,womens basketball,lsu
0,Daniel Cabrera,"Baton Rouge, La.",Parkview Baptist HS,N/A,baseball,lsu
1,Hal Hughes,"Norman, Okla.",Norman North HS,N/A,baseball,lsu
2,Josh Smith,"Greenwell Springs, La.",Catholic HS,N/A,baseball,lsu
3,Drew Bianco,"Oxford, Miss.",Oxford HS,N/A,baseball,lsu
4,Gavin Dugas,"Houma, La.",Houma Christian HS,N/A,baseball,lsu
5,Giovanni DiGiacomo,"Naples, Fla.",Canterbury HS,N/A,baseball,lsu
6,Antoine Duplantis,"Lafayette, La.",Lafayette HS,N/A,baseball,lsu
7,Zach Watson,"Ruston, La.",West Ouachita HS,N/A,baseball,lsu
8,Eric Walker,"Arlington, Texas",Arlington Martin HS,N/A,baseball,lsu
9,Landon Marceaux,"Destrehan, La.",Destrehan HS,N/A,baseball,lsu
10,Saul Garza,"Edinburg, Texas",Edinburg North HS,N/A,baseball,lsu
11,Brandt Broussard,"Baton Rouge, La.",University HS,N/A,baseball,lsu
12,Cole Henry,"Florence, Ala.",Florence HS,N/A,baseball,lsu
13,Will Ripoll,"New Orleans, La.",John Curtis HS,N/A,baseball,lsu
14,Nick Storz,"Brooklyn, N.Y.",Poly Prep Country Day HS,N/A,baseball,lsu
15,Brock Mathis,"Fairfield, Ohio",Fairfield HS,N/A,baseball,lsu
