,name,hometown,high school?,sport,college
0,Sean Obi,"Kaduna, Nigeria",Green Farms Academy/Duke,mens basketball,maryland
1,Anthony Cowan Jr.,"Bowie, Md.",St. John's College HS,mens basketball,maryland
2,Kevin Huerter,"Clifton Park, N.Y.",Shenendehowa Central,mens basketball,maryland
3,Dion Wiley,"Oxon Hill, Md.",Potomac,mens basketball,maryland
4,Darryl Morsell,"Baltimore, Md.",Mount Saint Joseph,mens basketball,maryland
5,Jared Nickens,"Monmouth Junction, N.J.",Westtown School,mens basketball,maryland
6,Reese Mona,"LaPlata, Md.",St. John's College HS,mens basketball,maryland
7,Ivan Bender,"Capljina, Bosnia & Herzegovina",Elektrotehnicka Skol,mens basketball,maryland
8,Michal Cekovsky,"Kosice, Slovakia",Canarias Academy,mens basketball,maryland
9,Travis Valmon,"Rockville, Md.",Georgetown Prep,mens basketball,maryland
10,Justin Jackson,"Toronto, Ontario, Canada",Hill Academy,mens basketball,maryland
11,Bruno Fernando,"Luanda, Angola",IMG Academy,mens basketball,maryland
12,Andrew Terrell,"Indianapolis, Ind.",Brebeuf Jesuit HS,mens basketball,maryland
13,Alex Tostado,"Guadalajara, Mexico",Montverde Academy,mens basketball,maryland
14,Joshua Tomaic,"Lanzarote, Spain",Canarias Academy,mens basketball,maryland
15,Shakira Austin,"Fredericksburg, Va.",Riverdale Baptist,womens basketball,maryland
16,Channise Lewis,"Miami, Fla.",Miami Country Day,womens basketball,maryland
17,Kaila Charles,"Glenn Dale, Md.",Riverdale Baptist,womens basketball,maryland
18,Taylor Mikesell,"Massillon, Ohio",Jackson,womens basketball,maryland
19,Sarah Myers,"Cumming, Ga.",South Forsyth,womens basketball,maryland
20,Blair Watson,"Nutley, N.J.",Nutley,womens basketball,maryland
21,Stephanie Jones,"Havre de Grace, Md.",Aberdeen,womens basketball,maryland
22,Sara Vujacic,"Maribor, Slovenia",Walters State CC,womens basketball,maryland
23,Brianna Fraser,"Brooklyn, N.Y.",South Shore,womens basketball,maryland
24,Olivia Owens,"Niskayuna, N.Y.",Niskayuna,womens basketball,maryland
25,Tommy Gardiner,"Mount Laurel, N.J.",Lenape,baseball,maryland
26,Zach Jancarski,"East Norriton, Pa.",Chestnut Hill Academy,baseball,maryland
27,Alec Tuohy,"Gahanna, Ohio",Gahanna-Lincoln,baseball,maryland
28,Brad Barnett,"Rockwall, Texas",Rockwell HS,baseball,maryland
29,AJ Lee,"Millersville, Md.",St. John's,baseball,maryland
30,Mike Vasturia,"Medford, N.J.",St. Augustine Prep,baseball,maryland
31,Michael Pineiro,"Rancho Cucamonga, Calif.",Los Osos,baseball,maryland
32,Billy Phillips,"Wilmington, Del.",St. Mark's,baseball,maryland
33,Justin Morris,"Edgewater, Md.",DeMatha Catholic,baseball,maryland
34,Chris Alleyne,"Philadelphia, Pa.",Chestnut Hill Academy,baseball,maryland
35,Richie Schiekofer,"Millburn, N.J.",Millburn,baseball,maryland
36,Barrett Smith,"Timonium, Md.",Archbishop Spalding,baseball,maryland
37,Grant Burleson,"Salisbury, Md.",Parkside,baseball,maryland
38,Randy Bednar,"Bethesda, Md.",Landon,baseball,maryland
39,Taylor Bloom,"Severna Park, Md.",Riverdale Baptist,baseball,maryland
40,Hunter Parsons,"Fruitland, Md.",Parkside,baseball,maryland
41,Will Watson,"Monroe, La.",Neville HS/LSU-Eunice,baseball,maryland
42,Ty Friedrich,"Humelstown, Pa.",Lower Dauphin,baseball,maryland
43,Tyler Blohm,"Severna Park, Md.",Archbishop Spalding,baseball,maryland
44,Taylor Wright,"Vancouver, BC",Windsor Secondary/Colorado Northwestern CC,baseball,maryland
45,Drew Wilden,"West Deptford, N.J.",West Deptford,baseball,maryland
46,Ryan Hill,"Frisco, Texas",Grayson College,baseball,maryland
47,Justin Vought,"Wilkes-Barre, Pa.",Wyoming Valley West,baseball,maryland
48,Elliot Zoellner,"Annapolis, Md.",St. Mary's,baseball,maryland
