,name,hometown,high school?,sport,college
0,Kyle Ahrens,"Versailles, Ohio",Versailles,mens basketball,michigan_state
1,Joshua Langford,"Huntsville, Ala.",Madison Academy,mens basketball,michigan_state
2,Foster  Loyer,"Clarkston, Mich.",Clarkston,mens basketball,michigan_state
3,Cassius Winston,"Detroit, Mich.",Univ. of Detroit Jesuit,mens basketball,michigan_state
4,Jack Hoiberg,"Burr Ridge, Ill.",Hinsdale Central,mens basketball,michigan_state
5,Aaron Henry,"Indianapolis, Ind.",Ben Davis,mens basketball,michigan_state
6,Gabe Brown,"Ypsilanti, Mich.",Belleville,mens basketball,michigan_state
7,Brock Washington,"Southfield, Mich.",Southfield Christian,mens basketball,michigan_state
8,Thomas Kithier,"Clarkston, Mich.",Clarkston,mens basketball,michigan_state
9,Matt McQuaid,"Duncanville, Texas",Duncanville,mens basketball,michigan_state
10,Xavier Tillman,"Grand Rapids, Mich.",Grand Rapids Christian,mens basketball,michigan_state
11,Kenny Goins,"Troy, Mich.",Warren Mott,mens basketball,michigan_state
12,Marcus Bingham Jr.,"Grand Rapids, Mich.",GR Catholic Central,mens basketball,michigan_state
13,Braden Burke,"Stevensville, Mich.",Lakeshore,mens basketball,michigan_state
14,Conner George,"Okemos, Mich.",Okemos,mens basketball,michigan_state
15,Nick Ward,"Gahanna, Ohio",Lincoln,mens basketball,michigan_state
16,Shay Colley,"Brampton, Ontario, Canada",South Carolina,womens basketball,michigan_state
17,Tory Ozment,"Buford, Ga.",Buford High School,womens basketball,michigan_state
18,Mardrekia Cook,"Muskegon, Mich.",Muskegon High School,womens basketball,michigan_state
19,Taryn McCutcheon,"East Lansing, Mich.",East Lansing High School,womens basketball,michigan_state
20,Claire Hendrickson,"Wyoming, Mich.",Wyoming High School,womens basketball,michigan_state
21,Sidney Cooks,"Kenosha, Wis.",St. Joseph High School,womens basketball,michigan_state
22,Nathy Dambo,"Fort-de-France, Martinique",Junipero Serra High School,womens basketball,michigan_state
23,Nia Hollie,"Minneapolis, Minn.",Hopkins High School,womens basketball,michigan_state
24,Victoria Gaines,"Merrillville, Ind.",Merrillville High School,womens basketball,michigan_state
25,Nia Clouden,"Owing Mills, Md.",St. Frances High School,womens basketball,michigan_state
26,Jenna Allen,"Bedford, Ind.",North Lawrence High School,womens basketball,michigan_state
27,Kayla Belles,"Ithaca, Mich.",Ithaca High School,womens basketball,michigan_state
28,Danny Gleaves,"Homer Glen, Ill.",St. Rita,baseball,michigan_state
29,Marty Bechina,"Chicago, Ill.",St. Rita,baseball,michigan_state
30,Zaid Walker,"Homewood, Ill.",Homewood-Flossmoor,baseball,michigan_state
31,Joe Stewart,"Portage, Mich.",Portage Central,baseball,michigan_state
32,Brian Martin,"Westland, Mich.",John Glenn,baseball,michigan_state
33,Sam Benschoter,"Tecumseh, Mich",Tecumseh,baseball,michigan_state
34,Ryan King,"Munster, Ill.",Brother Rice,baseball,michigan_state
35,Jacob Erickson,"Allen Park, Mich.",Allen Park,baseball,michigan_state
36,Gabe Sotres,"Allen Park, Mich.",Brother Rice,baseball,michigan_state
37,Jarret Olson,"La Salle, Ill.",Galesburg,baseball,michigan_state
38,Royce Ando,"Mississauga, Ontario",John Fraser Secondary,baseball,michigan_state
39,Andrew Morrow,"Omaha, Neb.",Creighton Prep,baseball,michigan_state
40,Reese Trahey,"West Bloomfield, Mich.",Brother Rice,baseball,michigan_state
41,Peter Ahn,"Delafield, Wis.",Marquette University,baseball,michigan_state
42,Bryce Kelley,"Rockford, Mich.",Rockford,baseball,michigan_state
43,Justin Antoncic,"Westerville, Ohio",St. Francis DeSales,baseball,michigan_state
44,Jacob Seipenko,"Canton, Mich.",Salem,baseball,michigan_state
45,Mike Mokma,"Holland, Mich.",Holland Christian,baseball,michigan_state
46,Dan Chmielewski,"Shelby Township, Mich.",Eisenhower,baseball,michigan_state
47,Bailey Peterson,"Grandville, Mich.",Kellogg CC,baseball,michigan_state
48,Indigo Diaz,"Vancouver, B.C., Canada",Handsworth,baseball,michigan_state
49,Brendan Regan,"Northfield, Ohio",Walsh Jesuit,baseball,michigan_state
50,Zac Bianucci,"Naperville, Ill.",Naperville Central,baseball,michigan_state
51,Nic Lacayo,"Colorado Springs, Colo.",South Mountain CC,baseball,michigan_state
52,Adam Proctor,"St. Johns, Mich.",St. Johns,baseball,michigan_state
53,Colten Panaranto,"Martinsville, Ind.",Roncalli,baseball,michigan_state
54,Mason Erla,"Cass City, Mich.",Cass City,baseball,michigan_state
55,William Christophersen,"Bettendorf, Iowa",Pleasant Valley,baseball,michigan_state
56,Zach Iverson,"Charlotte, N.C.",Providence Day,baseball,michigan_state
57,Casey Mayes,"Wichita, Kan.",Andover,baseball,michigan_state
58,Scott Combs,"Northville, Mich.",Divine Child,baseball,michigan_state
59,Mitchell Tyranski,"Birmingham, Mich.",Brother Rice,baseball,michigan_state
60,Caleb Sleeman,"Alto, Mich.",Caledonia,baseball,michigan_state
61,Evan Flohr,"Northville, Mich.",Cypress CC,baseball,michigan_state
62,Jesse Heikkinen,"Holt, Mich.",Holt,baseball,michigan_state
63,Justin Layne,"Cleveland, Ohio",Benedictine,football,michigan_state
64,Xavier Henderson,"Reynoldsburg, Ohio",Pickerington Central,football,michigan_state
65,LJ Scott,"Youngstown, Ohio",Hubbard,football,michigan_state
66,Matt Coghlin,"Cincinnati, Ohio",Archbishop Moeller,football,michigan_state
67,C.J. Hayes,"Bowling Green, Ky.",South Warren,football,michigan_state
68,Andrew Dowell,"North Ridgeville, Ohio",St. Edward,football,michigan_state
69,Theo Day,"Canton, Mich.",Divine Child,football,michigan_state
70,David Dowell,"North Ridgeville, Ohio",St. Edward,football,michigan_state
71,Michael Dowell,"North Ridgeville, Ohio",St. Edward,football,michigan_state
72,Cody White,"Novi, Mich.",Walled Lake Western,football,michigan_state
73,Chris Jackson,"Marietta, Ga.",Lassiter,football,michigan_state
74,Jalen Nailor,"Las Vegas, Nev.",Bishop Gorman,football,michigan_state
75,Dominique Long,"Westerville, Ohio",Westerville South,football,michigan_state
76,Matt Morrissey,"Lincolnshire, Ill.",Adlai E. Stevenson,football,michigan_state
77,Connor Heyward,"Duluth, Ga.",Peachtree Ridge,football,michigan_state
78,Davion Williams,"Belleville, Mich.",Belleville,football,michigan_state
79,Nick Krumm,"Commerce Township, Mich.",Walled Lake Central,football,michigan_state
80,Rocky Lombardi,"Cliva, Iowa",Valley,football,michigan_state
81,Mickey Macius,"Arlington Heights, Ill.",Austin Peay,football,michigan_state
82,Laress Nelson,"Fort Lauderdale, Fla.",American Heritage,football,michigan_state
83,Brian Lewerke,"Phoenix, Ariz.",Pinnacle,football,michigan_state
84,La'Darius Jefferson,"Columbia, Miss.",Muskegon,football,michigan_state
85,Brandon Sowards,"Wyandotte, Mich.",Roosevelt,football,michigan_state
86,Tyriq Thompson,"Detroit, Mich.",Martin Luther King,football,michigan_state
87,Felton Davis III,"Richmond, Va.",Highland Springs,football,michigan_state
88,Kalon Gervin,"Detroit, Mich.",Cass Technical,football,michigan_state
89,Josh Butler,"Mesquite, Texas",West Mesquite,football,michigan_state
90,Emmanuel Flowers,"Chino Hills, Calif.",Ayala,football,michigan_state
91,Davis Lewandowski,"Okemos, Mich.",Okemos,football,michigan_state
92,Cam Chambers,"Sicklerville, N.J.",Timber Creek Regional,football,michigan_state
93,Chase Kline,"Chardon, Ohio",Chardon,football,michigan_state
94,Josiah Scott,"Hamilton, Ohio",Fairfield,football,michigan_state
95,Eli McLean,"Pontiac, Mich.",Notre Dame Prep,football,michigan_state
96,Elijah Collins,"Detroit, Mich.",University of Detroit Jesuit,football,michigan_state
97,Tre Person,"Atlanta, Ga.",Westlake,football,michigan_state
98,Jake Hartbarger,"Waterville, Ohio",Anthony Wayne,football,michigan_state
99,Darrell Stewart Jr.,"Houston, Texas",Nimitz,football,michigan_state
100,Brandon Bouyer-Randle,"Battle Creek, Mich.",Battle Creek Central,football,michigan_state
101,Weston Bridges,"Akron, Ohio",Copley,football,michigan_state
102,Khari Willis,"Jackson, Mich.",Lumen Christi,football,michigan_state
103,Jon Reschke,"Sterling Heights, Mich.",Brother Rice,football,michigan_state
104,Shakur Brown,"Stockbridge, Ga.",Woodland,football,michigan_state
105,Tanner Hallock,"Grand Rapids, Mich.",Forest Hills Central,football,michigan_state
106,Edward Warinner,"Powell, Ohio",Olentangy Liberty,football,michigan_state
107,Corey Pryor,"Jackson, Mich.",Jackson,football,michigan_state
108,Jeslord Boateng,"Dublin, Ohio",Dublin Coffman,football,michigan_state
109,Antjuan Simmons,"Ann Arbor, Mich.",Pioneer,football,michigan_state
110,Joe Bachie,"Brook Park, Ohio",Berea,football,michigan_state
111,Jiah Norman,"Houston, Texas",Hotchkiss School,football,michigan_state
112,Noah Sargent,"Fenton, Mich.",N/A,football,michigan_state
113,Dante Razzano,"Niles, Mich.",Edwardsburg,football,michigan_state
114,Byron Bullough,"Traverse City, Mich.",St. Francis,football,michigan_state
115,Alante Thomas,"Detroit, Mich.",N/A,football,michigan_state
116,Collin Lucas,"Avon Lake, Ohio",Avon Lake,football,michigan_state
117,Reid Burton,"East Lansing, Mich.",East Lansing,football,michigan_state
118,Gerald Owens,"Thorofare, N.J.",West Deptford,football,michigan_state
119,Brent Mossburg,"Carleton, Mich.",Airport,football,michigan_state
120,Jack Mandryk,"Hudsonville, Mich.",Hudsonville,football,michigan_state
121,Grayson Miller,"Georgetown, Ky.",Scott,football,michigan_state
122,Noah Harvey,"Hartland, Wis.",Arrowhead,football,michigan_state
123,Ben Line,"Oxford, Mich.",Robert Morris,football,michigan_state
124,Ryan Armour,"Traverse City, Mich.",St. Francis,football,michigan_state
125,Kenny Willekes,"Rockford, Mich.",NorthPointe Christian,football,michigan_state
126,David Kruse,"Lowell, Mich",Lowell,football,michigan_state
127,Max Rosenthal,"Winnetka, Ill.",New Trier Township Winnetka,football,michigan_state
128,Nick Chudler,"Novi, Mich.",Orchard Lake St. Mary's,football,michigan_state
129,Dillon Alexander,"Forsyth, Ga.",Lambert,football,michigan_state
130,Peter Fisk,"Grand Rapids, Mich.",Deerfield Academy,football,michigan_state
