,name,hometown,high school?,sport,college
0,Payton Willis,"Fayetteville, Ark.",Fayetteville,mens basketball,minnesota
1,Dupree McBrayer,"Queens, N.Y.",Sunrise Christian                                            Academy,mens basketball,minnesota
2,Marcus Carr,"Toronto, Ontario",Montverde Academy,mens basketball,minnesota
3,Jordan Murphy,"San Antonio, Texas",Brennan,mens basketball,minnesota
4,Amir Coffey,"Hopkins, Minn.",Hopkins,mens basketball,minnesota
5,Brady Rudrud,"Eden Prairie, Minn.",Eden Prairie,mens basketball,minnesota
6,Isaiah Washington,"Harlem, N.Y.",St. Raymond's,mens basketball,minnesota
7,Jarvis Johnson,"Minneapolis, Minn.",DeLaSalle,mens basketball,minnesota
8,Hunt Conroy,"New Orleans, La.",Jesuit,mens basketball,minnesota
9,Jarvis Omersa,"Orono, Minn.",Orono,mens basketball,minnesota
10,Gabe Kalscheur,"Edina, Minn.",DeLaSalle,mens basketball,minnesota
11,Eric Curry,"Memphis, Tenn.",Southwest Christian                                            Academy,mens basketball,minnesota
12,Daniel Oturu,"Woodbury, Minn.",Cretin-Derham Hall,mens basketball,minnesota
13,Brock Stull,"Rockford, Ill.",Boylan Catholic,mens basketball,minnesota
14,Michael Hurt,"Rochester, Minn.",John Marshall,mens basketball,minnesota
15,Destiny Pitts,"Detroit, Mich.",Detroit Country                                            Day,womens basketball,minnesota
16,Taiye Bello,"Southfield, Mich.",Southfield-Lathrup,womens basketball,minnesota
17,Kehinde Bello,"Southfield, Mich.",Southfield-Lathrup,womens basketball,minnesota
18,Jasmine Brunson,"Queens, N.Y.",Mary Louis Academy,womens basketball,minnesota
19,Kenisha Bell,"Minneapolis, Minn.",Marquette,womens basketball,minnesota
20,Palma Kaposi,"Pecs, Hungary",N/A,womens basketball,minnesota
21,Irene Garrido Perez,"Granada, Spain",N/A,womens basketball,minnesota
22,Gadiva Hubbard,"Virginia Beach, Va.",Princess                                            Anne,womens basketball,minnesota
23,Annalese Lamke,"Galesville, Wis.",Gale-Ettrick-Trempealeau,womens basketball,minnesota
24,Ben Mezzenga,"Shoreview, Minn.",Totino-Grace,baseball,minnesota
25,Alex Boxwell,"Coon Rapids, Minn.",Coon Rapids,baseball,minnesota
26,Brett Schulze,"Maple Grove, Minn.",Maple Grove,baseball,minnesota
27,Eli Wilson,"Seattle, Wash.",Garfield,baseball,minnesota
28,Terrin Vavra,"Menomonie, Wis.",Menomonie,baseball,minnesota
29,Jordan Kozicky,"Minneapolis, Minn.",Minneapolis                                            Southwest,baseball,minnesota
30,Micah Coffey,"Batavia, Ill.",Batavia,baseball,minnesota
31,"Eduardo Estrada, Jr.","Litchfield, Minn.",Litchfield,baseball,minnesota
32,Cole McDevitt,"Apple Valley, Minn.",Eastview,baseball,minnesota
33,Luke Pettersen,"Minnetonka, Minn.",Minnetonka,baseball,minnesota
34,Jacob Hitz,"Prior Lake, Minn.",Prior Lake,baseball,minnesota
35,Easton Bertrand,"Manteno, Ill.",Manteno,baseball,minnesota
36,Danny Kapala,"Apple Valley, Minn.",Eastview,baseball,minnesota
37,Riley Smith,"Broken Arrow, Okla.",Bishop                                            Kelley,baseball,minnesota
38,Gabe Knowles,"New Ulm, Minn.",Cathedral,baseball,minnesota
39,Toby Hanson,"Delano, Minn.",Delano,baseball,minnesota
40,Drew Hmielewski,"Marshall, Minn.",Marshall,baseball,minnesota
41,Patrick Fredrickson,"Gig Harbor, Wash.",Gig Harbor,baseball,minnesota
42,Max Meyer,"Woodbury, Minn.",Woodbury,baseball,minnesota
43,Nolan Burchill,"Sioux Falls, S.D.",Lincoln,baseball,minnesota
