,name,hometown,high school?,sport,college
0,Seventh Woods,"Columbia, S.C.",Hammond School,mens basketball,north_carolina
1,Theo Pinson,"Greensboro, N.C.",Wesleyan Christian Academy,mens basketball,north_carolina
2,Joel Berry II,"Apopka, Fla.",Lake Highland Preparatory,mens basketball,north_carolina
3,Andrew Platek,"Guilderland, N.Y.",Northfield Mount Hermon School (Mass.),mens basketball,north_carolina
4,Brandon Robinson,"Douglasville, Ga.",Douglas County,mens basketball,north_carolina
5,Shea Rush,"Fairway, Kan.","The Barstow School (Kansas City, Mo.)",mens basketball,north_carolina
6,Cameron Johnson,"Moon Township, Pa.",Our Lady of the Sacred Heart (University of Pittsburgh),mens basketball,north_carolina
7,Kane Ma,"Greensboro, N.C.",New Garden Friends School,mens basketball,north_carolina
8,Garrison Brooks,"Lafayette, Ala.",Auburn,mens basketball,north_carolina
9,Sterling Manley,"Pickerington, Ohio",Pickerington Central,mens basketball,north_carolina
10,Walker Miller,"Greensboro, N.C.",New Hampton Prep (N.H.),mens basketball,north_carolina
11,Kenny Williams,"Midlothian, Va.",Bird,mens basketball,north_carolina
12,Aaron Rohlman,"Gastonia, N.C.",Hunter Huss,mens basketball,north_carolina
13,K.J. Smith,"Calabasas, Calif.","IMG Academy (Bradenton, Fla.)",mens basketball,north_carolina
14,Luke Maye,"Huntersville, N.C.",Hough,mens basketball,north_carolina
15,Brandon Huffman,"Goldsboro, N.C.",Word of God Christian Academy,mens basketball,north_carolina
16,Taylor Koenen,"Savage, Minn.",Shakopee,womens basketball,north_carolina
17,Jocelyn Jones,"Richmond, Va.",Cosby,womens basketball,north_carolina
18,Stephanie Watts,"Wesley Chapel, N.C.",Weddington,womens basketball,north_carolina
19,Jamie Cherry,"Cove City, N.C.",West Craven,womens basketball,north_carolina
20,Emily Sullivan,"Newburgh, Ind.",Reitz Memorial,womens basketball,north_carolina
21,Dazia Powell,"Raleigh, N.C.",Millbrook,womens basketball,north_carolina
22,Liz Roberts,"Chapel Hill, N.C.",Durham Academy,womens basketball,north_carolina
23,Olivia Smith,"Raleigh, N.C.",Cardinal Gibbons,womens basketball,north_carolina
24,Leah Church,"Purlear, N.C.",Forest Trail Academy,womens basketball,north_carolina
25,Paris Kea,"Tarboro, N.C.",Page/Vanderbilt,womens basketball,north_carolina
26,Destinee Walker,"Orlando, Fla.",Lake Highland Prep,womens basketball,north_carolina
27,Jaelynn Murray,"Columbia, S.C.",Dreher,womens basketball,north_carolina
28,Naomi Van Nes,"Dorchester, England",Hamden Country Day,womens basketball,north_carolina
29,Janelle Bailey,"Matthews, N.C.",Providence Day School,womens basketball,north_carolina
30,Brandon Riley,"Burlington, N.C.",Williams,baseball,north_carolina
31,Satchel Jerzembeck,"Charlotte, N.C.",Providence,baseball,north_carolina
32,Kyle Datres,"Williamsport, Pa.",Loyalsock Township,baseball,north_carolina
33,Brandon Martorano,"Marlboro, N.J.",Christian Brothers Academy,baseball,north_carolina
34,Ashton McGee,"Pikeville, N.C.",C.B. Aycock,baseball,north_carolina
35,Dylan Enwiller,"Chandler, Ariz.",Hamilton,baseball,north_carolina
36,Dallas Tessar,"Simi Valley, Calif.",Chaminade,baseball,north_carolina
37,Ike Freeman,"Rockwell, N.C.",East Rowan,baseball,north_carolina
38,Zack Gahagan,"Fletcher, N.C.",North Henderson,baseball,north_carolina
39,Cody Roberts,"Johns Creek, Ga.",Blessed Trinity,baseball,north_carolina
40,Josh Ladowski,"Mooresville, N.C.",Lake Norman,baseball,north_carolina
41,Michael Busch,"Inver Grove Heights, Minn.",Simley,baseball,north_carolina
42,Earl Semper,N/A,Simley,baseball,north_carolina
43,Clemente Inclan,"Jacksonville, Fla.",Bolles School,baseball,north_carolina
44,Brett Daniels,"Fuquay-Varina, N.C.",Fuquay-Varina,baseball,north_carolina
45,Tyler Baum,"Ocoee, Fla.",West Orange,baseball,north_carolina
46,Hansen Butler,"High Point, N.C.",High Point Christian,baseball,north_carolina
47,Taylor Sugg,"Greensboro, N.C.",Southern Guilford,baseball,north_carolina
48,Jackson Hesterlee,"Carrollton, Ga.",Carrollton,baseball,north_carolina
49,Jason Morgan,"Fredericksburg, Va.",Chancellor,baseball,north_carolina
50,Josh Hiatt,"Charlotte, N.C.",Providence,baseball,north_carolina
51,Caden O'Brien,"Maiden, N.C.",Maiden,baseball,north_carolina
52,Joey Lancellotti,"Bensalem, Pa.",William Penn Charter,baseball,north_carolina
53,Bo Weiss,"Castle Rock, Colo.",Regis Jesuit,baseball,north_carolina
54,Kip Brandenburg,"Greensboro, N.C.",Southern Guilford,baseball,north_carolina
55,Kyle Blendinger,"High Point, N.C.",Southwest Guilford,baseball,north_carolina
56,Angel Zarate,"Reidsville, N.C.",Rockingham County,baseball,north_carolina
57,Cooper Criswell,"Carrollton, Ga.",Carrollton,baseball,north_carolina
58,Gianluca Dalatri,"Wall Township, N.J.",Christian Brothers Academy,baseball,north_carolina
59,Brendan Illies,"Edgewood, Wash.",Puyallup,baseball,north_carolina
60,Austin Love,"Salisbury, N.C.",West Rowan,baseball,north_carolina
61,Austin Bergner,"Windermere, Fla.",Windermere Prep,baseball,north_carolina
62,Ben Casparius,"Westport, Conn.",Staples,baseball,north_carolina
63,Rodney Hutchison Jr.,"Mason, Ohio",Mason,baseball,north_carolina
64,Myles Dorn,"Charlotte, N.C.",Vance,football,north_carolina
65,Stanton Truitt,"Atlanta, Ga.",Monroe Area,football,north_carolina
66,Jordon Brown,"Durham, N.C.",Southern Durham,football,north_carolina
67,Jesse Cuccia,"Westlake, Calif.",Westlake,football,north_carolina
68,Dominique Ross,"Jacksonville, Fla.",Trinity Christian Academy,football,north_carolina
69,Allen Artis,"Marietta, Ga.",Wheeler,football,north_carolina
70,Rontavius Groves,"Nashville, Tenn.",Pearl-Cohn,football,north_carolina
71,Austyn Chestnut,"Reidsville, N.C.",Reidsville,football,north_carolina
72,Patrice Rene,"Alexandria, Va.",Episcopal,football,north_carolina
73,Cade Fortin,"Suwanee, Ga.",North Gwinnett,football,north_carolina
74,Bryson Richardson,"Buford, Ga.",Buford,football,north_carolina
75,Jonathan Smith,"Laurinburg, N.C.",Scotland County,football,north_carolina
76,Michael Carter,"Navarre, Fla.",Navarre,football,north_carolina
77,Greg Ross,"Temple Hills, Md.",Potomac,football,north_carolina
78,K.J. Sails,"Tampa, Fla.",East Bay,football,north_carolina
79,Jace Ruder,"Norton, Kansas",Norton Community,football,north_carolina
80,Kyle Wright,"Blythewood, S.C.",Ben Lippen,football,north_carolina
81,Nathan Elliott,"Celina, Texas",Celina,football,north_carolina
82,Myles Wolfolk,"Upper Marlboro, Md.",Henry A. Wise,football,north_carolina
83,Tomon Fox,"Lawrenceville, Ga.",Collins Hill,football,north_carolina
84,Chazz Surratt,"Denver, N.C.",East Lincoln,football,north_carolina
85,Caleb Rozar,"Clarksville, Tenn.",Dickson County,football,north_carolina
86,Jake Lawler,"Charlotte, N.C.",South Mecklenburg,football,north_carolina
87,Jack Davidson,"Charlotte, N.C.",Myers Park,football,north_carolina
88,D.J. Ford,"Ashland, Ala.",Central,football,north_carolina
89,Manny Miles,"Baton Rouge, La.",University Laboratory School,football,north_carolina
90,Anthony Ratliff-Williams,"Matthews, N.C.",Butler,football,north_carolina
91,Corey Bell Jr.,"Charlotte, N.C.",Hough,football,north_carolina
92,J.T. Cauthen,"Waxhaw, N.C.",Cuthbertson,football,north_carolina
93,Dazz Newsome,"Hampton, Va.",Hampton,football,north_carolina
94,Kayne Roberts,"Greenback, Tenn.",Greenback School,football,north_carolina
95,Johnathon Sutton,"Swansea, S.C.",Swansea,football,north_carolina
96,Dyami Brown,"Charlotte, N.C.",West Mecklenburg,football,north_carolina
97,Graham Eklund,"Jackson, Miss.",Jackson Prep,football,north_carolina
98,Mason Laurence,"San Antonio, Texas",San Antonio Christian,football,north_carolina
99,Malik Robinson,"Snellville, Ga.",South Gwinnett,football,north_carolina
100,Javonte Williams,"Wallace, N.C.",Wallace-Rose Hill,football,north_carolina
101,C.J. Cotman,"Clearwater, Fla.",Central Catholic,football,north_carolina
102,Jack Dinges,"Atlanta, Ga.",Marist,football,north_carolina
103,Chavis Little,"High Point, N.C.",High Point Central,football,north_carolina
104,Austin Chrismon,"China Grove, N.C.",South Rowan,football,north_carolina
105,J.K. Britt,"Newnan, Ga.",Newnan,football,north_carolina
106,Devin Cregan,"Kinston, N.C.",Arendell Parrott Academy,football,north_carolina
107,Matthew Flint,"Gurley, Ala.",Madison County,football,north_carolina
108,Antwuan Branch,"Clarksville, Tenn.",Kenwood,football,north_carolina
109,Tre Shaw,"Ellenwood, Ga.",Cedar Grove,football,north_carolina
110,Jacob Schmidt,"Hickory, N.C.",Foard,football,north_carolina
111,Allen Cater,"Hiram, Ga.",Mt. Paran Christian School,football,north_carolina
112,M.J. Frazier,"Greensboro, N.C.",Middle College at NC A&T,football,north_carolina
113,Xach Gill,"Wake Forest, N.C.",Wake Forest,football,north_carolina
114,Cole Holcomb,"New Smyrna Beach, Fla.",New Smyrna Beach,football,north_carolina
115,Zach Goins,"Matthews, N.C.",Weddington,football,north_carolina
116,Thomas Brown,"Statesville, N.C.",Statesville,football,north_carolina
117,Luke Hoggard,"Edenton, N.C.",Holmes,football,north_carolina
118,Kyle Murphy,"Charlotte, N.C.",Ardrey Kell,football,north_carolina
119,Tyrone Hopper,"Roswell, Ga.",Roswell,football,north_carolina
120,Hunter Sheridan,"Charlotte, N.C.",Charlotte Latin,football,north_carolina
121,Jeremiah Gemmel,"Sharpsburg, Ga.",East Coweta,football,north_carolina
