,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
0,Ryan Greer,"Atlanta, Ga. / Northfield Mount Hermon (Mass.)","Atlanta, Ga. / Northfield Mount Hermon (Mass.)","Atlanta, Ga. / Northfield Mount Hermon (Mass.)",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
1,Vic Law,"South Holland, Ill. / St. Rita","South Holland, Ill. / St. Rita","South Holland, Ill. / St. Rita",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
2,Dererk Pardon,"Cleveland, Ohio / Villa Angela-St. Joseph","Cleveland, Ohio / Villa Angela-St. Joseph","Cleveland, Ohio / Villa Angela-St. Joseph",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
3,Miller Kopp,"Houston, Texas / Houston Christian","Houston, Texas / Houston Christian","Houston, Texas / Houston Christian",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
4,Anthony Gaines,"Kingston, N.Y. / New Hampton School (N.H.)","Kingston, N.Y. / New Hampton School (N.H.)","Kingston, N.Y. / New Hampton School (N.H.)",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
5,Ryan Taylor,"Gary, Ind. / St. John's Northwestern Military Academy (Wis.)","Gary, Ind. / St. John's Northwestern Military Academy (Wis.)","Gary, Ind. / St. John's Northwestern Military Academy (Wis.)",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
6,Ryan Young,"Stewartsville, N.J. / Bethlehem (Pa.) Catholic","Stewartsville, N.J. / Bethlehem (Pa.) Catholic","Stewartsville, N.J. / Bethlehem (Pa.) Catholic",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
7,A.J. Turner,"Mt. Clemens, Mich. / New Hampton School (N.H.)","Mt. Clemens, Mich. / New Hampton School (N.H.)","Mt. Clemens, Mich. / New Hampton School (N.H.)",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
8,Pete Nance,"Akron, Ohio / Revere","Akron, Ohio / Revere","Akron, Ohio / Revere",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
9,Jordan Ash,"Bolingbrook, Ill. / St. Joseph","Bolingbrook, Ill. / St. Joseph","Bolingbrook, Ill. / St. Joseph",Name,Hometown/High School,Hometown/High School,Hometown/High School,mens basketball,northwestern
