,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
0,Micah Potter,"Mentor, Ohio",N/A,Montverde Academy,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
1,Luther Muhammad,"Jersey City, N.J.",N/A,Hudson Catholic,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
2,Musa Jallow,"Bloomington, Ind.",N/A,North,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
3,C.J. Jackson,"Charlotte, N.C.",N/A,Eastern Florida State CC,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
4,Duane Washington Jr.,"Grand Rapids, Mich.",N/A,Sierra Canyon,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
5,Justin Ahrens,"Versailles, Ohio",N/A,Versailles,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
6,CJ Walker,"Indianapolis, Ind.",N/A,Florida State,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
7,Joey Lane,"Deerfield, Ill.",N/A,Deerfield,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
8,Jaedon LeDee,"Houston, Texas",N/A,The Kinkaid School,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
9,Andre Wesson,"Westerville, Ohio",N/A,South,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
10,Kyle Young,"Canton, Ohio",N/A,Jackson,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
11,Keyshawn Woods,"Gastonia, N.C.",N/A,Wake Forest,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
12,Kaleb Wesson,"Westerville, Ohio",N/A,South,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
13,Danny Hummer,"Upper Arlington, Ohio",N/A,Air Force Academy,Name,Hometown,N/A,H.S./Last School,mens basketball,ohio_state
0,Carmen Grande,"Madrid, Spain",N/A,Ball State,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
1,Ashanti Abshaw,"Cleveland Heights, Ohio",N/A,Cleveland State,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
2,Janai Crooms,"Cranston, R.I.",N/A,St. Andrews H.S.,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
3,Carly Santoro,"Bellevue, Ohio",N/A,Bowling Green,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
4,Savitha Jayaraman,"Powell, Ohio",N/A,Olentangy Liberty H.S.,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
5,Dorka Juhász,"Pecs, Hungary",N/A,PTE Babits,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
6,Adreana Miller,"Somerset, N.J.",N/A,LaSalle,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
7,Najah Queenland,"Sacramento, Calif.",N/A,Pacific,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
8,Makayla Waterman,"Kettering, Ohio",N/A,Fairmont H.S.,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
9,Karlie Cronin,"Oakton, Va.",N/A,SMU,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
10,Aaliyah Patty,"Lombard, Ill.",N/A,Montini Catholic H.S.,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
11,Jensen Caretti,"Clarington, Ohio",N/A,River H.S.,Name,HOMETOWN,N/A,LAST SCHOOL,womens basketball,ohio_state
0,Brady Cherry,"Pendleton, Ind.",N/A,Lapel,Name,Hometown,N/A,Last School,baseball,ohio_state
1,Kobie Foppe,"Phoenix, Ariz.",N/A,South Mountain CC,Name,Hometown,N/A,Last School,baseball,ohio_state
2,Jake Vance,"Canton, Ohio",N/A,Central Catholic,Name,Hometown,N/A,Last School,baseball,ohio_state
3,Zach Dezenzo,"Alliance, Ohio",N/A,Marlington,Name,Hometown,N/A,Last School,baseball,ohio_state
4,Malik Jones,"Richardson, Texas",N/A,Weatherford CC,Name,Hometown,N/A,Last School,baseball,ohio_state
5,Bayden Root,"Kokomo, Ind.",N/A,Kokomo,Name,Hometown,N/A,Last School,baseball,ohio_state
6,Nate Romans,"Canton, Ohio",N/A,Meridian College,Name,Hometown,N/A,Last School,baseball,ohio_state
7,Noah West,"Westerville, Ohio",N/A,Westerville Central,Name,Hometown,N/A,Last School,baseball,ohio_state
8,Dillon Dingler,"Massillon, Ohio",N/A,Jackson,Name,Hometown,N/A,Last School,baseball,ohio_state
9,Seth Lonsway,"Celina, Ohio",N/A,Celina,Name,Hometown,N/A,Last School,baseball,ohio_state
10,Brent Todys,"Westerville, Ohio",N/A,Andrew College,Name,Hometown,N/A,Last School,baseball,ohio_state
11,Thomas Waning,"Maple City, Mich.",N/A,Lincoln Trail,Name,Hometown,N/A,Last School,baseball,ohio_state
12,Dustin Jourdan,"Austin, Texas",N/A,McLennan CC,Name,Hometown,N/A,Last School,baseball,ohio_state
13,Jonathan Jahn,"Augusta, Ga.",N/A,South Carolina,Name,Hometown,N/A,Last School,baseball,ohio_state
14,TJ Brock,"Cincinnati, Ohio",N/A,Country Day,Name,Hometown,N/A,Last School,baseball,ohio_state
15,Matt Carpenter,"Aurora, Ohio",N/A,Aurora,Name,Hometown,N/A,Last School,baseball,ohio_state
16,Nolan Clegg,"Toronto, Ohio",N/A,Toronto,Name,Hometown,N/A,Last School,baseball,ohio_state
17,Andrew Magno,"Dublin, Ohio",N/A,Scioto,Name,Hometown,N/A,Last School,baseball,ohio_state
18,Luke Duermit,"Fishers, Ind.",N/A,Fishers,Name,Hometown,N/A,Last School,baseball,ohio_state
19,Jake Ruby,"Groveport, Ohio",N/A,Bishop Hartley,Name,Hometown,N/A,Last School,baseball,ohio_state
20,Alec Taylor,"Steubenville, Ohio",N/A,Steubenville,Name,Hometown,N/A,Last School,baseball,ohio_state
21,Marcus Ernst,"Dublin, Ohio",N/A,Dublin Coffman,Name,Hometown,N/A,Last School,baseball,ohio_state
22,Nick Erwin,"Grove City, Ohio",N/A,Grove City,Name,Hometown,N/A,Last School,baseball,ohio_state
23,Garrett Burhenn,"Indianapolis, Ind.",N/A,Lawrence North,Name,Hometown,N/A,Last School,baseball,ohio_state
24,Will Pfennig,"Mason, Ohio",N/A,Mason,Name,Hometown,N/A,Last School,baseball,ohio_state
25,Aaron Hughes,"Tipp City, Ohio",N/A,Tippecanoe,Name,Hometown,N/A,Last School,baseball,ohio_state
26,Dominic Canzone,"Sagamore Hills, Ohio",N/A,Walsh Jesuit,Name,Hometown,N/A,Last School,baseball,ohio_state
27,Cole Niekamp,"Versailles, Ohio",N/A,Versailles,Name,Hometown,N/A,Last School,baseball,ohio_state
28,Mitch Milheim,"Powell, Ohio",N/A,Olentangy Liberty,Name,Hometown,N/A,Last School,baseball,ohio_state
29,Griffan Smith,"Cincinnati, Ohio",N/A,Cincinnati Hills Christian Academy,Name,Hometown,N/A,Last School,baseball,ohio_state
30,Andrew Fishel,"Charlotte, N.C.",N/A,Providence H.S.,Name,Hometown,N/A,Last School,baseball,ohio_state
31,Conner Pohl,"Arcanum, Ohio",N/A,Arcanum,Name,Hometown,N/A,Last School,baseball,ohio_state
32,Scottie Seymour,"Maumee, Ohio",N/A,Springfield H.S.,Name,Hometown,N/A,Last School,baseball,ohio_state
33,Joe Gahm,"Richfield, Wis.",N/A,Chattahoochee Valley CC,Name,Hometown,N/A,Last School,baseball,ohio_state
34,Luke Vonderhaar,"New Bremen, Ohio",N/A,New Bremen,Name,Hometown,N/A,Last School,baseball,ohio_state
35,Sam McClurg,"Toledo, Ohio",N/A,St. John's Jesuit,Name,Hometown,N/A,Last School,baseball,ohio_state
36,Ridge Winand,"Butler, Ohio",N/A,Clear Fork,Name,Hometown,N/A,Last School,baseball,ohio_state
37,Mitchell Smith,"Pickerington, Ohio",N/A,Pickerington North,Name,Hometown,N/A,Last School,baseball,ohio_state
0,Jeffrey Okudah,"Grand Prairie, Texas",N/A,South Grand Prairie,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
1,Johnnie Dixon,"West Palm Beach, Fla.",N/A,Dwyer,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
2,Chase Young,"Upper Marlboro, Md.",N/A,DeMatha Catholic,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
3,J.K. Dobbins,"La Grange, Texas",N/A,La Grange,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
4,Damon Arnette,"Fort Lauderdale, Fla.",N/A,St. Thomas Aquinas,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
5,Jordan Fuller,"Norwood, N.J.",N/A,Old Tappan,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
6,Chris Chugunov,"Skillman, N.J.",N/A,West Virginia,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
7,Baron Browning,"Fort Worth, Texas",N/A,Kennedale,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
8,Taron Vincent,"Baltimore, Md.",N/A,IMG Academy,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
9,Brian Snead,"Seffner, Fla.",N/A,Armwood,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
10,Dwayne Haskins,"Potomac, Md.",N/A,Bullis School,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
11,Teradja Mitchell,"Virginia Beach, Va.",N/A,Bishop Sullivan,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
12,Kendall Sheffield,"Missouri City, Texas",N/A,Blinn College,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
13,Binjimen Victor,"Pompano Beach, Florida",N/A,Coconut Creek,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
14,Jashon Cornell,"St. Paul, Minn.",N/A,Cretin-Derham Hall,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
15,Amir Riep,Cincinnati,N/A,Colerain,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
16,Daniel Vanatsky,"Cincinnati, Ohio",N/A,Cincinnati Hills Christian Academy,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
17,Austin Mack,"Fort Wayne, Ind.",N/A,Bishop Luers,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
18,Tyreke Smith,"Cleveland, Ohio",N/A,Cleveland Heights,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
19,Isaiah Pryor,"Lawrenceville, Ga.",N/A,IMG Academy,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
20,Sevyn Banks,"Orlando, Fla.",N/A,Jones,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
21,Matthew Baldwin,"Austin, Texas",N/A,Lake Travis,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
22,Rashod Berry,"Lorain, Ohio",N/A,Lorain,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
23,Tyreke Johnson,"Jacksonville, Fla.",N/A,Trinity Christian Academy,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
24,K.J. Hill,"Little Rock, Ark.",N/A,North Little Rock,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
25,Josh Proctor,"Owasso, Okla.",N/A,Owasso,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
26,Jaylen Harris,Cleveland,N/A,Cleveland Heights,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
27,Keandre Jones,"Olney, Md.",N/A,Good Counsel,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
28,Kory Curtis,"Cape Coral, Fla.",N/A,Island Coast,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
29,Alex Williams,"Pickerington, Ohio",N/A,North,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
30,Chris Olave,"San Marcos, Calif.",N/A,Mission Hills,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
31,Kamryn Babb,"St. Louis, Mo.",N/A,Christian Brothers College,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
32,Jonathon Cooper,"Gahanna, Ohio",N/A,Lincoln,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
33,Tate Martell,"Las Vegas, Nevada",N/A,Bishop Gorman,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
34,Dallas Gant,"Toledo, Ohio",N/A,St. John's Jesuit,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
35,Pete Werner,Indianapolis,N/A,Catherdral,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
36,Parris Campbell,Akron,N/A,St. Vincent-St. Mary,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
37,Marcus Williamson,"Westerville, Ohio",N/A,IMG Academy,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
38,Jahsen Wint,"Brooklyn, N.Y.",N/A,Erasmus Hall,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
39,De'Shawn White,"Canton, Ohio",N/A,McKinley,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
40,Shaun Wade,"Jacksonville, Florida",N/A,Trinity Christian Academy,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
41,Sam Wiglusz,"Brecksville, Ohio",N/A,Brecksville-Broadview Heights,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
42,Brendon White,"Powell, Ohio",N/A,Olentangy Liberty,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
43,Mike Weber,"Detroit, Mich.",N/A,Cass Tech,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
44,Cameron Brown,"St. Louis, Mo.",N/A,Christian Brothers College,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
45,Jaelen Gill,"Westerville, Ohio",N/A,South,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
46,Alex Badine,"Brooklyn, N.Y.",N/A,Monroe College,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
47,Dominic DiMaccio,"Columbus, Ohio",N/A,DeSales,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
48,Amari McMahon,"Dublin, Ohio",N/A,Scioto,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
49,Marcus Hooker,"New Castle, Pa.",N/A,New Castle,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
50,Zach Hoover,"Toledo, Ohio",N/A,Central Catholic,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
51,Demario McCall,"North Ridgeville, Ohio",N/A,North Ridgeville H.S.,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
52,Kevin Dever,"Cleveland, Ohio",N/A,St. Edward's,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
53,Tuf Borland,"Bolingbrook, Ill.",N/A,Bolingbrook,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
54,Master Teague,"Murfreesboro, Tenn.",N/A,Blackman,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
55,Mitch Rossi,"Franklin, Tenn.",N/A,Franklin,Name,HOMETOWN,N/A,LAST SCHOOL,football,ohio_state
