,name,hometown,high school?,sport,college
0,Stephen Thompson Jr.,"Los Angeles, Calif.",Bishop Montgomery HS,mens basketball,oregon_state
1,Ronnie Stacy,"Alexander City, Ala.",Benjamin Russell HS,mens basketball,oregon_state
2,Tres Tinkle,"Missoula, Mont.",Hellgate HS,mens basketball,oregon_state
3,Alfred Hollins,"San Francisco, Calif.",Hillcrest Prep,mens basketball,oregon_state
4,Ethan Thompson,"Los Angeles, Calif.",Bishop Montgomery HS,mens basketball,oregon_state
5,Zach Reichle,"Wilsonville, Ore.",Wilsonville HS,mens basketball,oregon_state
6,Drew Eubanks,"Troutdale, Ore.",Reynolds HS,mens basketball,oregon_state
7,Tanner Sanders,"Corvallis, Ore.",Crescent Valley HS,mens basketball,oregon_state
8,Xavier Smith,"Seattle, Wash.",O'Dea HS,mens basketball,oregon_state
9,Gligorije Rakocevic,"Bijelo Polje, Montenegro",Cantwell-Sacred Heart of Mary HS,mens basketball,oregon_state
10,Kendal Manuel,"Billings, Mont.",Skyview HS,mens basketball,oregon_state
11,Cheikh N'diaye,"Dakar, Senegal",Army-Navy Academy,mens basketball,oregon_state
12,Seth Berger,"Seattle, Wash.",Ballard HS,mens basketball,oregon_state
13,Ben Koné,"San Francisco, Calif.",Archbishop Mitty HS,mens basketball,oregon_state
14,Isaac Barnes,"Pittsburgh, Pa.",North Allegheny HS,mens basketball,oregon_state
15,Mikayla Pivec,"Lynnwood, Wash.",Lynnwood HS,womens basketball,oregon_state
16,Aleah Goodman,"Milwaukie, Ore.",La Salle,womens basketball,oregon_state
17,Madison Washington,"Las Vegas, Nev.",Bishop Gorman HS,womens basketball,oregon_state
18,Taya Corosdale,"Bothell, Wash.",Bothell HS,womens basketball,oregon_state
19,Katie McWilliams,"Salem, Ore.",South Salem HS,womens basketball,oregon_state
20,Joanna Grymek,"Krakow, Poland",Seward CC,womens basketball,oregon_state
21,Janessa Thropay,"Chino, Calif.",Chino Hills HS,womens basketball,oregon_state
22,Marie Gülich,"Cologne, Germany",Landrat-Lucas Gymnasium,womens basketball,oregon_state
23,Kat Tudor,"Woodbridge, Calif.",Saint Mary's HS,womens basketball,oregon_state
24,Destiny Slocum,"Meridian, Idaho",Mountain View HS,womens basketball,oregon_state
25,Taylor Kalmer,"Chandler, Ariz.",Corona Del Sol HS,womens basketball,oregon_state
26,Kyler McMahan,"Seattle, Wash.",Lynnwood,baseball,oregon_state
27,Cadyn Grenier,"Henderson, Nev.",Bishop Gorman,baseball,oregon_state
28,Nick Madrigal,"Elk Grove, Calif.",Elk Grove,baseball,oregon_state
29,Steven Kwan,"Fremont, Calif.",Washington,baseball,oregon_state
30,Joe Casey,"Corvallis, Ore.",Crescent Valley,baseball,oregon_state
31,Tyler Malone,"Roseville, Calif.",Woodcreek,baseball,oregon_state
32,Andy Armstrong,"Salem, Ore.",West Salem,baseball,oregon_state
33,Michael Gretler,"Bonney Lake, Wash.",Bonney Lake,baseball,oregon_state
34,Trevor Larnach,"Pleasant Hill, Calif.",College Park,baseball,oregon_state
35,Sam Tweedt,"Salem, Ore.",South Salem,baseball,oregon_state
36,Elliot Willy,"Bend, Ore.",Bend,baseball,oregon_state
37,Luke Heimlich,"Puyallup, Wash.",Puyallup,baseball,oregon_state
38,Zak Taylor,"Sherwood, Ore.",Sherwood,baseball,oregon_state
39,Troy Claunch,"Vacaville, Calif.",Vacaville,baseball,oregon_state
40,Ryan Ober,"Snohomish, Wash.",Glacier Peak,baseball,oregon_state
41,Dakota Donovan,"Washington, Utah",Pine View,baseball,oregon_state
42,Zach Clayton,"Oconomowoc, Wis.",Oconomowoc,baseball,oregon_state
43,Grant Gambrell,"Clovis, Calif.",Buchanan,baseball,oregon_state
44,Kevin Abel,"San Diego, Calif.",Madison,baseball,oregon_state
45,Nathan Burns,"West Bend, Wis.",West Bend West,baseball,oregon_state
46,Bryce Fehmel,"Agoura Hills, Calif.",Agoura Hills,baseball,oregon_state
47,Kyle Nobach,"Marysville, Wash.",Marysville,baseball,oregon_state
48,Jack Anderson,"Lake Oswego, Ore.",Lake Oswego,baseball,oregon_state
49,Zack Zalesky,"Corvallis, Ore.",Corvallis,baseball,oregon_state
50,Jordan Britton,"Caldwell, Idaho",Caldwell,baseball,oregon_state
