,name,hometown,high school?,sport,college
0,Myreon Jones,"Birmingham, Ala.",Lincoln Academy,mens basketball,penn_state
1,Deivis Zemgulis,"Kaunas, Lithuania",St. Mary Ryken (Md.),mens basketball,penn_state
2,Myles Dread,"Detroit, Mich.","Gonzaga (Washington, D.C.)",mens basketball,penn_state
3,Satchel Pierce,"Barberton, Ohio",Kiski School (Pa.),mens basketball,penn_state
4,Daniil Kasatkin,"Vichuga, Russia",Mountain Mission,mens basketball,penn_state
5,Jamari Wheeler,"Live Oak, Fla.",The Rock School,mens basketball,penn_state
6,Kyle McCloskey,"Lower Gwynedd, Pa.",Germantown Academy,mens basketball,penn_state
7,Lamar Stevens,"North Wales, Pa.",Roman Catholic,mens basketball,penn_state
8,Izaiah Brockington,"Philadelphia, Pa.",Archibishop Ryan,mens basketball,penn_state
9,Rasir Bolton,"Petersburg, Va.",Massanutten Academy,mens basketball,penn_state
10,Taylor Nussbaum,"South Salem, N.Y.",Cheshire Academy (Conn.),mens basketball,penn_state
11,John Harrar,"Wallingford, Pa.",Strath Haven,mens basketball,penn_state
12,Grant Hazle,"Kingwood, Texas",Westbury Christian,mens basketball,penn_state
13,Josh Reaves,"Fairfax, Va.",Oak Hill Academy (Va.),mens basketball,penn_state
14,Mike Watkins,"Philadelphia, Pa.",Phelps School,mens basketball,penn_state
15,Trent Buttrick,"Bloomsburg, Pa.",Community School of Naples (Fla.),mens basketball,penn_state
16,Alisia Smith,"Lansing, Mich.",Waverly,womens basketball,penn_state
17,Amari Carter,"Washington, D.C.",St. John's College,womens basketball,penn_state
18,Karisma Ortiz,"San Jose, Calif.",Archbishop Mitty,womens basketball,penn_state
19,Siyeh Frazier,"Detroit, Mich.",Renaissance,womens basketball,penn_state
20,Kamaria McDaniel,"Inkster, Mich.",Dearborn Heights Robichaud,womens basketball,penn_state
21,Teniya Page,"Chicago, Ill.",Marian Catholic,womens basketball,penn_state
22,Kayleigh Semion,"Dunmore, Pa.",Dunmore,womens basketball,penn_state
23,Leah Knizner,"Greensburg, Pa.",Hempfield Area,womens basketball,penn_state
24,Sam Breen,"Gibsonia, Pa.",Cardinal Wuerl North Catholic,womens basketball,penn_state
25,Jaida Travascio-Green,"Lisle, Ill.",Downers Grove North,womens basketball,penn_state
26,Lauren Ebo,"Washington, D.C.",Riverdale Baptist,womens basketball,penn_state
27,Sarah McMurtry,"Pittsburgh, Pa.",Upper St. Clair,womens basketball,penn_state
28,Bexley Wallace,"Pickerington, Ohio",Pickerington Central,womens basketball,penn_state
29,Conlin Hughes,"Holly Springs, N.C.",Holly Springs,baseball,penn_state
30,Cole Bartels,"Belmont, Mass.",Belmont,baseball,penn_state
31,Connor Klemann,"Royersford, Pa.",Spring-Ford,baseball,penn_state
32,Tommy Gibson,"Williamstown, N.J.",Williamstown,baseball,penn_state
33,Ralph Gambino,"Freehold, N.J.",Freehold Township,baseball,penn_state
34,Isaiah Payton,"Newark, Del.",The Episcopal Academy,baseball,penn_state
35,Parker Hendershot,"Barton, N.Y.",Tioga Central,baseball,penn_state
36,Brendan Mullins,"Toms River, N.J.",Toms River North,baseball,penn_state
