,name,hometown,high school?,sport,college
0,Aaron Wheeler,"Stamford, Conn.",Brewster Academy                                                (N.H.,mens basketball,purdue
1,Eric Hunter,"Indianapolis, Ind.",Tindley                                                Prep,mens basketball,purdue
2,Carsen Edwards,"Atascocita, Texas",Atascocita,mens basketball,purdue
3,Emmanuel Dowuona,"Miami, Fla.",Westwood                                                Christian,mens basketball,purdue
4,Evan Boudreaux,"Lake Forest, Ill.",Lake Forest,mens basketball,purdue
5,Ryan Cline,"Carmel, Ind.",Carmel,mens basketball,purdue
6,Tommy Luce,"Jeffersonville,                                                Ind.",Jeffersonville,mens basketball,purdue
7,Nojel Eastern,"Evanston, Ill.",Evanston                                                Township,mens basketball,purdue
8,Kyle King,"St. Charles, Ill.",St. Charles North,mens basketball,purdue
9,Grady Eifert,"Fort Wayne, Ind.",Bishop                                                Dwenger,mens basketball,purdue
10,Matt Haarms,"Amsterdam, Netherlands",Sunrise                                                Christian (Kan.,mens basketball,purdue
11,Trevion Williams,"Chicago, Ill.",Henry Ford Academy                                                (Mich.,mens basketball,purdue
12,Sasha Stefanovic,"Crown Point, Ind.",Crown Point,mens basketball,purdue
13,Karissa McLaughlin,"Fort Wayne, Ind.",Homestead,womens basketball,purdue
14,Abby Abel,"Carmel, Ind.",Carmel,womens basketball,purdue
15,Lyndsey Whilby,"Powder Springs, Ga.",McEachern,womens basketball,purdue
16,Cassidy Hardin,"Bargersville, Ind.",Center                                                Grove,womens basketball,purdue
17,Dominique Oden,"Atlanta, Ga.",Marist,womens basketball,purdue
18,Nora Kiesler,"Louisville, Ky.",Assumption,womens basketball,purdue
19,Ajah Stallings,"Indianapolis, Ind.",North                                                Central,womens basketball,purdue
20,Léony Boudreau,"Montreal, Quebec",Dawson                                                College,womens basketball,purdue
21,Jenelle Grant,"London, England",Harris Westminster,womens basketball,purdue
22,Kayana Traylor,"Martinsville,                                                Ind.",Martinsville,womens basketball,purdue
23,Tamara Farquhar,"Pierrefonds, Quebec",Dawson                                                College,womens basketball,purdue
24,Nyagoa Gony,"Lincoln, Neb.",Lincoln,womens basketball,purdue
25,Ae'Rianna Harris,"Indianapolis, Ind.",Lawrence                                                North,womens basketball,purdue
26,Lamina Cooper,"Indianapolis, Ind.",Lawrence                                                North,womens basketball,purdue
27,Fatou Diagne,"Thies, Senegal",Kocc Barma,womens basketball,purdue
28,Owen Jansen,"Oakville, Ontario",Iroquois                                                Ridge,baseball,purdue
29,Tyler Powers,"Lafayette, Ind.",Central                                                Catholic,baseball,purdue
30,Skyler Hunter,"Hood River, Ore.",Hood River Valley,baseball,purdue
31,Harry Shipley,"Fishers, Ind.",Indianapolis                                                Cathedral,baseball,purdue
32,Evan Warden,"Kokomo, Ind.",Western,baseball,purdue
33,Nick Dalesandro,"Plainfield, Ill.",Joliet Catholic,baseball,purdue
34,Alec West-Guillen,"Reno, Nev.",Bishop Manogue,baseball,purdue
35,Alec Olund,"Crown Point, Ind.",Lake Central,baseball,purdue
36,Tanner Andrews,"Rochester, Ind.",Tippecanoe Valley,baseball,purdue
37,Cory Brooks,"Hilliard, Ohio",Hilliard Darby,baseball,purdue
38,Evan Kennedy,"Lafayette, Ind.",Central                                                Catholic,baseball,purdue
39,Trevor Cheaney,"Muenster, Texas",Muenster,baseball,purdue
40,Nick Evarts,"Colleyville, Texas",Grapevine,baseball,purdue
41,Justin Fugitt,"Hilliard, Ohio",Hilliard Darby,baseball,purdue
42,Mike Kornacker,"Lemont, Ill.",St. Laurence,baseball,purdue
43,Bryce Bonner,"Allen, Texas",Jesuit Prep,baseball,purdue
44,Charlie Nasuti,"Long Beach, Calif.",Saint John Bosco,baseball,purdue
45,Milo Beam,"Westfield, Ind.",Westfield,baseball,purdue
46,Ross Learnard,"Catlin, Ill.",Catlin,baseball,purdue
47,Jacson McGowan,"Brownsburg, Ind.",Brownsburg,baseball,purdue
48,Patrick J. Smith,"Schaumburg, Ill.",Conant,baseball,purdue
49,Cameron Williams,"Seabrook, Texas",Bastrop,baseball,purdue
50,Gareth Stroh,"Kearney, Neb.",Gibbon,baseball,purdue
51,Andrew Bohm,"Fishers, Ind.",Hamilton                                                Southeastern,baseball,purdue
52,Ben Nisle,"Schererville, Ind.",Lake                                                Central,baseball,purdue
53,Trent Johnson,"Crawfordsville,                                                Ind.",Crawfordsville,baseball,purdue
54,Ryan Beard,"Boise, Idaho",Rocky Mountain,baseball,purdue
55,Dalton Parker,"St. Joseph, Ill.",St. Joseph-Ogden,baseball,purdue
56,Patrick W. Smith,"El Dorado Hills, Calif.",Oak Ridge,baseball,purdue
57,Matt Moore,"Avon, Ind.",Avon,baseball,purdue
58,Hayden Wynja,"Indianapolis, Ind.",Heritage                                                Christian,baseball,purdue
59,Braden Giroux,"Lafayette, Ind.",McCutcheon,baseball,purdue
60,Bo Hofstra,"Schererville, Ind.",Illiana Christian,baseball,purdue
61,D.J. Knox,"Fairburn, Ga.",Creekside,football,purdue
62,Dedrick Mackey,"Miami, Fla.",Booker T.                                                Washington,football,purdue
63,Elijah Sindelar,"Princeton, Ky.",Caldwell                                                County,football,purdue
64,D'J Edwards,"West Palm Beach, Fla.",Palm Beach                                                Lakes,football,purdue
65,Kamal Hardy,"Miramar, Fla.",N/A,football,purdue
66,Griffin Alstott,"St. Petersburg, Fla.",Northside                                                Christian,football,purdue
67,T.J. Jallow,"Olive Branch, Miss.",N/A,football,purdue
68,Tyler Hamilton,"Hilton Head, S.C.",Hilton Head,football,purdue
69,Isaac Zico,"Milledgeville, Ga.",N/A,football,purdue
70,Markell Jones,"Columbus, Ind.",Columbus East,football,purdue
71,Lorenzo Neal,"Houston, Texas",Saint Thomas,football,purdue
72,Terry Wright,"Memphis, Tenn.",Coffeyville,football,purdue
73,Amad Anderson Jr.,"Staten Island, N.Y.",Curtis,football,purdue
74,Mike Little,"Newhall, Calif.",Notre Dame,football,purdue
75,David Blough,"Carrollton, Texas",Creekview,football,purdue
76,Jared Sparks,"Geismar, La.",Dutchtown,football,purdue
77,Spencer Evans,"Arlington, Texas",Baylor,football,purdue
78,Jack Plummer,"Gilbert, Ariz.",Gilbert,football,purdue
79,Antonio Blackmon,"Fort Wayne, Ind.",Bishop                                                Dwenger,football,purdue
80,Danny Carollo,"Lake Forest, Ill.",Lake Forest,football,purdue
81,Aidan O'Connell,"Lincolnshire, Ill.",Stevenson,football,purdue
82,Nick Sipe,"Villa Park, Calif.",Villa Park,football,purdue
83,KeyRon Catlett,"Hopkinsville, Ky.",Christian                                                County,football,purdue
84,Cameron Northern,"Jeffersonville,                                                Ind.",Jeffersonville,football,purdue
85,Aaron Banks,"Indianapolis, Ind.",Brebeuf,football,purdue
86,Benaiah Franklin,"Marietta, Ga.,",Wheeler,football,purdue
87,Kenneth Major,"Hopkinsville, Ky.",Christian                                                County,football,purdue
88,Markus Bailey,"Columbus, Ohio",Hilliard                                                Davidson,football,purdue
89,Tim Cason,"Clarkston, Mich.",Clarkston,football,purdue
90,Tario Fuller,"Sugar Hill, Ga.",Lanier,football,purdue
91,Brandon Shuman,"Miami, Fla.",Gulliver Prep,football,purdue
92,Navon Mosley,"West Bloomfield, Mich.",West                                                Bloomfield,football,purdue
93,Jacob Abrams,"Carmel, Ind.",Carmel,football,purdue
94,Simeon Smiley,"Pensacola, Fla.",Pensacola                                                Catholic,football,purdue
95,Tobias Larry,"Lakeland, Fla.",Kathleen,football,purdue
96,Joe Schopper,"Indianapolis, Ind.",Cathedral,football,purdue
97,Jackson Anthrop,"West Lafayette, Ind.",Central                                                Catholic,football,purdue
98,Jonah Williams,"West Lafayette, Ind.",West                                                Lafayette,football,purdue
