,name,hometown,high school?,sport,college
0,A.J.  Lawson,"Toronto, Ontario, Canada",GTA Prep,mens basketball,south_carolina
1,T.J. Moss,"Memphis, Tenn.",Findlay Prep (Nevada),mens basketball,south_carolina
2,Hassani Gravett,"Villa Rica, Ga.",Alexander,mens basketball,south_carolina
3,Tre Campbell,"Washington, D.C.",St. John's College High School,mens basketball,south_carolina
4,Jermaine  Couisnard,"East Chicago, Ind.",Montverde Academy (Fla.),mens basketball,south_carolina
5,Justin Minaya,"Harrington Park, N.J.",Northern Valley at Old Tappan,mens basketball,south_carolina
6,Felipe Haase,"Osorno, Chile",Miami (Fla.) Christian School,mens basketball,south_carolina
7,Nathan Nelson,"Murfreesboro, Tenn.",Blackman,mens basketball,south_carolina
8,Alanzo Frink,"Jersey City, N.J.",Roselle (N.J.) Catholic,mens basketball,south_carolina
9,Maik Kotsar,"Tallinn, Estonia","Sunrise Christian Academy (Wichita, Kan.)",mens basketball,south_carolina
10,Evan Hinson,"Deltona, Fla.",Deltona,mens basketball,south_carolina
11,Keyshawn  Bryant,"Winter Haven, Fla.",Winter Haven,mens basketball,south_carolina
12,Chris Silva,"Libreville, Gabon",Roselle (N.J.) Catholic,mens basketball,south_carolina
13,Jason Cudd,"Myrtle Beach, S.C.",Socastee,mens basketball,south_carolina
14,Jair Bolden,"Brooklyn, N.Y.",Westtown School (Pa.),mens basketball,south_carolina
15,Nelly Perry,"Camden, N.J.",Brimm Medical Arts,womens basketball,south_carolina
16,Bianca Cuevas-Moore,"Bronx, N.Y.",Nazareth Regional,womens basketball,south_carolina
17,Te'a Cooper,"Powder Springs, Ga.",McEachern,womens basketball,south_carolina
18,Destanni Henderson,"Fort Myers, Fla.",Fort Myers,womens basketball,south_carolina
19,Doniyah Cliney,"Newark, N.J.",Malcolm X Shabazz,womens basketball,south_carolina
20,Victaria Saxton,"Rome, Ga.",Model,womens basketball,south_carolina
21,Bianca Jackson,"Montgomery, Ala.",Brewbaker Tech Magnet,womens basketball,south_carolina
22,Mikiah Herbert Harrigan,"Pembroke Pines, Fla.",Flanagan,womens basketball,south_carolina
23,LaDazhia Williams,"Bradenton, Fla.",Lakewood Ranch,womens basketball,south_carolina
24,LeLe Grissett,"Durham, N.C.",Hillside,womens basketball,south_carolina
25,Elysa Wesolek,"Charleston, S.C.",Northwood Academy,womens basketball,south_carolina
26,Alexis Jennings,"Madison, Ala.",Sparkman,womens basketball,south_carolina
27,Tyasha Harris,"Noblesville, Ind.",Heritage Christian,womens basketball,south_carolina
28,Noah Campbell,"Durham, N.C.",Cardinal Gibbons HS,baseball,south_carolina
29,Justin Row,"La Verne, Calif.",N/A,baseball,south_carolina
30,Danny Blair,"Bel Air, Md.",IMG Academy,baseball,south_carolina
31,TJ Hopkins,"Summerville, S.C.",Summerville HS,baseball,south_carolina
32,Kyle Jacobsen,"Acworth, Ga.",Allatoona HS,baseball,south_carolina
33,Jacob Olson,"Monroe, Ga.",West Georgia Tech JC,baseball,south_carolina
34,Carlos Cortes,"Oviedo, Fla.",Lake Howell HS,baseball,south_carolina
35,Eddy Demurias,"Miami, Fla.",N/A,baseball,south_carolina
36,Mason Streater,"Duncan, S.C.",Boiling Springs HS,baseball,south_carolina
37,LT Tolbert,"Piedmont, S.C.",IMG Academy,baseball,south_carolina
38,Graham Lawson,"Woodruff, S.C.",N/A,baseball,south_carolina
39,Madison Stokes,"Columbia, SC",A.C. Flora HS,baseball,south_carolina
40,Adam Hill,"Anderson, S.C.",T.L. Hanna HS,baseball,south_carolina
41,John Gilreath,"Rock Hill, S.C.",Northwestern HS,baseball,south_carolina
42,Jonah Bride,"Owasso, Okla.",N/A,baseball,south_carolina
43,Carmen Mlodzinski,"Hilton Head, S.C.",Hilton Head HS,baseball,south_carolina
44,Logan Chapman,"Liberty, S.C.",Easley HS,baseball,south_carolina
45,Sawyer Bridges,"Summerville, S.C.",Summerville HS,baseball,south_carolina
46,Ian Jenkins,"Suwanee, Ga.",Collins Hill HS,baseball,south_carolina
47,Gage Hinson,"Lancaster, S.C.",N/A,baseball,south_carolina
48,Ridge Chapman,"Taylors, S.C.",N/A,baseball,south_carolina
49,Shane Roberts,"Jupiter, Fla.",Dwyer HS,baseball,south_carolina
50,Riley Hogan,"Orlando, Fla.",TNXL Academy,baseball,south_carolina
51,Chris Cullen,"Cumming, Ga.",West Forsyth HS,baseball,south_carolina
52,Hunter Lomas,"Blythewood, S.C.",N/A,baseball,south_carolina
53,Jordan Holladay,"Sumter, S.C.",Sumter HS,baseball,south_carolina
54,TJ Shook,"Columbia, S.C.",Dutch Fork HS,baseball,south_carolina
55,Cam Tringali,"Columbia, S.C.",Cardinal Newman HS,baseball,south_carolina
56,Hunter Taylor,"Onley, VA",Nandua HS,baseball,south_carolina
57,Elijah Bowers,"Matthews, N.C.",Weddington HS,baseball,south_carolina
58,Corey Stone,"Prosperity, S.C.",Mid Carolina HS,baseball,south_carolina
59,Parker Coyne,"Suwanee, Ga.",North Gwinnett HS,baseball,south_carolina
60,Matt Williams,"Honea Path, S.C.",Belton-Honea Path HS,baseball,south_carolina
61,Cody Morris,"Laurel, Md.",Reservoir HS,baseball,south_carolina
