,name,hometown,high school?,sport,college
0,KZ Okpala,"Orange County, Calif.",Esperanza HS,mens basketball,stanford
1,Daejon Davis,"Seattle, Wash.",Garfield HS,mens basketball,stanford
2,Bryce Wills,"White Plains, N.Y.",Iona Preparatory School,mens basketball,stanford
3,Isaac White,"Adelaide, Australia",Sacred Heart College HS,mens basketball,stanford
4,Kodye Pugh,"Baltimore, Md.",Blair Academy (New Jersey),mens basketball,stanford
5,Keenan Fitzmorris,"Overland Park, Kan.",New Hampton School (N.H.),mens basketball,stanford
6,Oscar  da silva,"Munich, Germany",Ludwig Gymnasium,mens basketball,stanford
7,Marcus Sheffield,"Alpharetta, Ga.",Chattahoochee HS,mens basketball,stanford
8,Rodney Herenton,"Chicago, Ill.",Stevenson HS,mens basketball,stanford
9,Josh Sharma,"Science, Technology and Society","Lexington, Mass.",mens basketball,stanford
10,Cormac Ryan,"New York, N.Y.",Milton Academy (Mass.),mens basketball,stanford
11,Sam Beskind,"Tucson, Ariz.",Catalina Foothills HS,mens basketball,stanford
12,Lukas Kisunas,"Vilnius, Lithuania",Brewster Academy (N.H.),mens basketball,stanford
13,Trevor Stanback,"Pasadena, Calif.",Maranatha,mens basketball,stanford
14,Shannon Coffee,"Dayton, Ohio",Centerville,womens basketball,stanford
15,Anna Wilson,"Seattle, Wash.",Bellevue,womens basketball,stanford
16,Nadia Fingall,"Navarre, Fla.",Choctawhatchee,womens basketball,stanford
17,Alyssa Jerome,"Toronto, Ontario, Canada",Harbord Collegiate,womens basketball,stanford
18,Alanna Smith,"Melbourne, Victoria, Australia",Wesley College,womens basketball,stanford
19,Lexie Hull,"Spokane, Wash.",Central Valley,womens basketball,stanford
20,Marta Sniezek,"McLean, Va.",National Cathedral [D.C.],womens basketball,stanford
21,Mikaela Brewer,"Barrie, Ontario, Canada",Innisdale Secondary,womens basketball,stanford
22,Maya Dodson,"Alpharetta, Ga.",St. Francis,womens basketball,stanford
23,Estella Moschkau,"Madison, Wis.",Edgewood,womens basketball,stanford
24,DiJonai Carrington,"San Diego, Calif.",Horizon Christian,womens basketball,stanford
25,Alexa Romano,"Albuquerque, N.M.",La Cueva,womens basketball,stanford
26,Kiana Williams,"San Antonio, Texas",Karen Wagner,womens basketball,stanford
27,Lacie Hull,"Spokane, Wash.",Central Valley,womens basketball,stanford
28,Jenna Brown,"Atlanta, Ga.",The Lovett School,womens basketball,stanford
29,Christian Molfetta,"Science, Technology & Society","Laguna Beach, Calif.",baseball,stanford
30,Daniel Bakst,"New York, N.Y.",Poly Prep Country Day School,baseball,stanford
31,Nico Hoerner,"Oakland, Calif.",Head Royce,baseball,stanford
32,Beau Branton,"Honolulu, Hawaii",Punahou,baseball,stanford
33,Kyle Stowers,"El Cajon, Calif.",Christian,baseball,stanford
34,Jesse Kuet,"Huntington Beach, Calif.",Huntington Beach,baseball,stanford
35,Maverick Handley,"Lakewood, Colo.",Mullen,baseball,stanford
36,Alec Wilson,"Cumming, Ga.",West Forsyth,baseball,stanford
37,Duke Kinamon,"Science, Technology & Society","Peachtree City, Ga.",baseball,stanford
38,John Henry Styles,"Houston, Texas",Episcopal,baseball,stanford
39,Matthew Decker,"Portland, Ore.",Jesuit,baseball,stanford
40,Zach Sehgal,"La Jolla,Calif.",La Jolla,baseball,stanford
41,Will Matthiessen,"West Linn, Ore.",West Linn,baseball,stanford
42,Brendan Beck,"Corona, Calif.",Corona,baseball,stanford
43,Tim Tawa,"West Linn, Ore.",West Linn,baseball,stanford
44,Nickolas Oar,"Pleasant Hill, Calif.",College Park,baseball,stanford
45,Nick Brueser,"Chandler, Ariz.",Hamilton,baseball,stanford
46,Andrew Daschbach,"Atherton, Calif.",Sacred Heart Preparatory,baseball,stanford
47,Erik Miller,"Wildwood, Mo.",De Smet Jesuit,baseball,stanford
48,Carson Rudd,"Agoura Hills, Calif.",Oaks Christian,baseball,stanford
49,Bryce Carter,"Tulsa, Okla.",Cascia Hall Prep,baseball,stanford
50,Brandon Wulff,"Las Vegas, Nev.",Bishop Gorman,baseball,stanford
51,Zach Grech,"Las Vegas, Nev.",Bishop Gorman,baseball,stanford
52,Nick Bellafronto,"San Jose, Calif.",Bellarmine,baseball,stanford
53,Jack Little,"Las Vegas, Nev.",Bishop Gorman,baseball,stanford
54,Tristan Beck,"Science, Technology & Society","Corona, Calif.",baseball,stanford
55,Kris Bubic,"San Jose, Calif.",Archbishop Mitty,baseball,stanford
56,Luke Sleeper,"Haslett, Mich.",Haslett,baseball,stanford
57,Ben Baggett,"Fayetteville, Ga.",Landmark Christian,baseball,stanford
58,Jacob Palisch,"Richardson, Texas",Jesuit College Prep,baseball,stanford
59,Austin Weiermiller,"Milton, Ga.",Cambridge,baseball,stanford
