,name,hometown,high school?,sport,college
0,Jordan Bone,"Nashville, Tenn.",N/A,mens basketball,tennessee
1,Lamonte Turner,"Florence, Ala.",N/A,mens basketball,tennessee
2,Grant Williams,"Charlotte, N.C.",N/A,mens basketball,tennessee
3,Jacob Fleschman,"Austin, Texas",N/A,mens basketball,tennessee
4,Admiral Schofield,"Zion, Ill.",N/A,mens basketball,tennessee
5,John Fulkerson,"Kingsport, Tenn.",N/A,mens basketball,tennessee
6,Kyle Alexander,"Milton, Ontario, Canada",N/A,mens basketball,tennessee
7,Brad Woodson,"Murfreesboro, Tenn.",N/A,mens basketball,tennessee
8,Jalen Johnson,"Durham, N.C.",N/A,mens basketball,tennessee
9,Derrick Walker,"Kansas City, Mo.",N/A,mens basketball,tennessee
10,Jordan Bowden,"Knoxville, Tenn.",N/A,mens basketball,tennessee
11,Lucas Campbell,"Knoxville, Tenn.",N/A,mens basketball,tennessee
12,D.J. Burns,"Rock Hill, S.C.",N/A,mens basketball,tennessee
13,Zach Kent,"Magnolia, Del.",N/A,mens basketball,tennessee
14,Brock Jancek,"Knoxville, Tenn.",N/A,mens basketball,tennessee
15,Yves Pons,"Fuveau, France",N/A,mens basketball,tennessee
16,Rennia  Davis,"Jacksonville, Fla.",N/A,womens basketball,tennessee
17,Evina Westbrook,"Salem, Ore.",N/A,womens basketball,tennessee
18,Mimi Collins,"Waldorf, Md.",N/A,womens basketball,tennessee
19,Kamera Harris,"Hampton, Ga.",N/A,womens basketball,tennessee
20,Meme Jackson,"Murfreesboro, Tenn.",N/A,womens basketball,tennessee
21,Kasiyahna Kushkituah,"Atlanta, Ga.",N/A,womens basketball,tennessee
22,Rae Burrell,"Las Vegas, Nev.",N/A,womens basketball,tennessee
23,Jazmine Massengill,"Chattanooga, Tenn.",N/A,womens basketball,tennessee
24,Zaay Green,"Duncanville, Texas",N/A,womens basketball,tennessee
25,Cheridene Green,"London, England",N/A,womens basketball,tennessee
26,Lou Brown,"Melbourne, Australia",N/A,womens basketball,tennessee
27,Brodie Leftridge,"Baltimore, Md.",St. John's College HS,baseball,tennessee
28,Alex Sosnowski,"Orange, Calif.",Villa Park HS,baseball,tennessee
29,Jay Charleston,"Longwood, Fla.",Lake Brantley HS,baseball,tennessee
30,Zach  Daniels,"Stockbridge, Ga.",Eagles Landing Christian Academy,baseball,tennessee
31,Evan Russell,"Lexington, Tenn.",Scotts Hill HS,baseball,tennessee
32,Cal Gobbell,"Savannah, Tenn.",Hardin County HS,baseball,tennessee
33,Brandon Chinea,"Miami, Fla.",Florida Christian,baseball,tennessee
34,Justin Ammons,"Memphis, Tenn.",Bartlett HS,baseball,tennessee
35,Pete Derkay,"Acworth, Ga.",Allatoona HS,baseball,tennessee
36,Will Heflin,"Morristown, Tenn.",Morristown West HS,baseball,tennessee
37,Wyatt Stapp,"Keller, Texas",Southlake Carroll HS,baseball,tennessee
38,Andre Lipcius,"Williamsburg, Va.",Lafayette HS,baseball,tennessee
39,Nick Woods,"Chattanooga, Tenn.",East Hamilton HS,baseball,tennessee
40,Will Neely,"Knoxville, Tenn.",Hardin Valley Academy,baseball,tennessee
41,Connor Darling,"Suwanee, Ga.",North Gwinnett HS,baseball,tennessee
42,Chase Wallace,"Sevierville, Tenn.",Sevier County HS,baseball,tennessee
43,Gunnar Ricketts,"Chattanooga, Tenn.",Baylor HS,baseball,tennessee
44,Donovan Benoit,"Pensacola, Fla.",Pensacola Catholic HS,baseball,tennessee
45,Evan Gilliam,"Lexington, Tenn.",Lexington HS,baseball,tennessee
46,Riley Watkins,"Eads, Tenn.",Evangelical Christian School,baseball,tennessee
47,Zach Linginfelter,"Sevierville, Tenn.",Sevier County HS,baseball,tennessee
48,Brandon Trammell,"Knoxville, Tenn.",Bearden HS,baseball,tennessee
49,Garrett Stallings,"Chesapeake, Va.",Grassfield HS,baseball,tennessee
50,Alex Harper-Cook,"Maryville, Tenn.",Maryville HS,baseball,tennessee
51,Daniel Vasquez,"El Cajon, Calif.",Granite Hill HS,baseball,tennessee
52,Andrew Schultz,"Alpharetta, Ga.",Greater Atlanta Christian School,baseball,tennessee
53,Benito Santiago,"Pembroke Pines, Fla.",Coral Springs Christian Academy,baseball,tennessee
54,Sean Hunley,"Mount Juliet, Tenn.",Mount Juliet HS,baseball,tennessee
55,Joshua  Plummer,"Mechanicsville, Va.",Hanover HS,baseball,tennessee
56,Garrett Crochet,"Ocean Springs, Miss.",Ocean Springs HS,baseball,tennessee
57,Nico Mascia,"Knoxville, Tenn.",Farragut HS,baseball,tennessee
58,Richard Jackson,"Atlanta, Ga.",Woodward Academy,baseball,tennessee
59,Luc Lipcius,"Williamsburg, Va.",Lafayette HS,baseball,tennessee
60,Sam Springer,"Knoxville, Tenn.",West HS,baseball,tennessee
61,Reed Fell,"Springdale, Ark.",Northeastern Oklahoma A&M,baseball,tennessee
62,Redmond Walsh,"Louisville, Tenn.",Alcoa HS,baseball,tennessee
63,Marquez Callaway,"Warner Robins, Ga.",Warner Robins,football,tennessee
64,Jarrett Guarantano,"Lodi, N.J.",Bergen Catholic,football,tennessee
65,Shy Tuttle,"Midway, N.C.",North Davidson,football,tennessee
66,Marquill Osborne,"Cornelius, N.C.",William Amos Hough,football,tennessee
67,Dominick Wood-Anderson,"Spring Valley, Calif.",Steele Canyon,football,tennessee
68,Kyle Phillips,"Nashville, Tenn.",Hillsboro,football,tennessee
69,Alontae Taylor,"Manchester, Tenn.",Coffee County Central,football,tennessee
70,Brandon Johnson,"Plantation, Fla.",American Heritage,football,tennessee
71,Jordan Allen,"Fairfield, Calif.",Armijo,football,tennessee
72,Ty Chandler,"Nashville, Tenn.",Montgomery Bell Academy,football,tennessee
73,Garrett Johnson,"Germantown, Tenn.",Germantown,football,tennessee
74,Tim Jordan,"Bartow, Fla.",Bartow,football,tennessee
75,Tyler Byrd,"Naples, Fla.",Naples,football,tennessee
76,Jordan Murphy,"Hattiesburg, Miss.",Hattiesburg,football,tennessee
