,name,hometown,high school?,sport,college
0,Aja Ellison,"Voorhees, N.J.",Life Center Academy,womens basketball,texas_am
1,Aahliyah Jackson,"Ft. Smith, Ark.",Northside HS,womens basketball,texas_am
2,Aaliyah Wilson,"Muskogee, Okla.",Muskogee,womens basketball,texas_am
3,Chennedy Carter,"Mansfield, Texas",Timberview,womens basketball,texas_am
4,Shambria Washington,"Ocala, Fla.",Trinity Catholic,womens basketball,texas_am
5,Kayla Wells,"Dallas, Texas",South Grand Prairie,womens basketball,texas_am
6,Cheah Rael-Whitsitt,"Ann Arbor, Mich.",Huron,womens basketball,texas_am
7,Jada Walton,"Lithonia, Ga.",Southwest DeKalb,womens basketball,texas_am
8,Jasmine Williams,"Houston, Texas",Cy-Woods HS,womens basketball,texas_am
9,N'dea Jones,"Lawrenceville, Ga.",Brookwood,womens basketball,texas_am
10,Anna Dreimane,"Riga, Latvia",Riga State Gymnasium No. 2,womens basketball,texas_am
11,Caylinne Martin,"Houston, Texas",Langham Creek HS,womens basketball,texas_am
12,Ciera Johnson,"Duncanville, Texas",Duncanville,womens basketball,texas_am
13,Allonte  Wingate,"Beaumont, Texas",University of Houston / Cisco College,baseball,texas_am
14,Michael Helman,"Lincoln, Nebraska",Pius X,baseball,texas_am
15,Mason Corbett,"San Antonio, Texas",Brandeis,baseball,texas_am
16,Cam Blake,"Round Rock, Texas",Round Rock,baseball,texas_am
17,Logan Foster,"Lincoln, Neb.",Lincoln Southwest,baseball,texas_am
18,Braden  Shewmake,"Wylie, Texas",Wylie East,baseball,texas_am
19,Zach DeLoach,"Lewisville, Texas",Hebron,baseball,texas_am
20,Hunter Coleman,"Midland, Texas",Midland Lee,baseball,texas_am
21,Aaron  Walters,"Center Point, Texas",Center Point,baseball,texas_am
22,Cole Bedford,"Houston, Texas",Deer Park,baseball,texas_am
23,Chandler Morris,"The Woodlands, Texas",The Woodlands College Park,baseball,texas_am
24,John Doxakis,"Houston, Texas",Lamar,baseball,texas_am
25,Bryce Blaum,"Sugar Land, Texas",Clements,baseball,texas_am
26,Cam Haller,"Marshall, Texas",Marshall,baseball,texas_am
27,Chandler Jozwiak,"Brenham, Texas",Brenham,baseball,texas_am
28,Jack Conlon,"Sugar Land, Texas",Fort Bend Clements,baseball,texas_am
29,Cason Sherrod,"Dallas, Texas",W.T. White,baseball,texas_am
30,Jason Ruffcorn,"Cedar Park, Texas",Hyde Park,baseball,texas_am
31,Christian Roa,"Houston, Texas",Memorial,baseball,texas_am
