,name,hometown,high school?,sport,college
0,James Banks III,"Decatur, Ga.",La Lumiere School [Ind.],mens basketball,texas
1,Andrew Jones,"Irving, Texas",MacArthur HS,mens basketball,texas
2,Matt Coleman,"Norfolk, Va.",Oak Hill Academy,mens basketball,texas
3,Jacob Young,"Houston, Texas",Yates HS,mens basketball,texas
4,Mohamed Bamba,"Harlem, N.Y.",Westtown School [Pa.],mens basketball,texas
5,Royce Hamm Jr.,"Houston, Texas",Aldine Davis HS,mens basketball,texas
6,Eric Davis Jr.,"Saginaw, Mich.",Saginaw Arthur Hill HS,mens basketball,texas
7,Kerwin Roach II,"Houston, Texas",North Shore HS,mens basketball,texas
8,Jase Febres,"Houston, Texas",Westfield HS,mens basketball,texas
9,Jericho  Sims,"Minneapolis, Minn.",Cristo Rey Jesuit HS,mens basketball,texas
10,Dylan Osetkowski,"San Diego, Calif.",JSerra Catholic HS,mens basketball,texas
11,Isaiah  Hobbs,"Palm Beach, Fla.",Lake Worth Christian HS,mens basketball,texas
12,Joe Schwartz,"Waco, Texas",Vanguard College Prep,mens basketball,texas
13,Ryan McClurg,"Katy, Texas",Seven Lakes HS,mens basketball,texas
14,Elijah Mitrou-Long,"Mississauga, Ontario, Canada",John Carroll [Md.] HS,mens basketball,texas
15,Sug Sutton,"St. Louis, Mo.",Parkway North,womens basketball,texas
16,Danni Williams,"Clovis, N.M.",Clovis,womens basketball,texas
17,Destiny Littleton,"La Jolla, Calif.",The Bishop's School,womens basketball,texas
18,Lashann Higgs,"Round Rock, Texas",Cedar Ridge,womens basketball,texas
19,Joanne Allen-Taylor,"Houston, Texas",Cypress Falls,womens basketball,texas
20,Jada Underwood,"Mesquite, Texas",Horn,womens basketball,texas
21,Olamide Aborowa,"Ondo, Nigeria",Neumann-Goretti [Pa.],womens basketball,texas
22,Chasity  Patterson,"Houston, Texas",North Shore,womens basketball,texas
23,Shae Routt,"Austin, Texas",Akins,womens basketball,texas
24,Sedona Prince,"Liberty Hill, Texas",Liberty Hill,womens basketball,texas
25,Joyner Holmes,"Cedar Hill, Texas",Cedar Hill,womens basketball,texas
26,Audrey Warren,"Fort Worth, Texas",Boswell,womens basketball,texas
27,Charli Collier,"Houston, Texas",Barbers Hill,womens basketball,texas
28,Jatarie White,"Charlotte, N.C.",Providence Day,womens basketball,texas
29,David Hamilton,"San Marcos, Texas",San Marcos,baseball,texas
30,Kody Clemens,"Houston, Texas",Memorial,baseball,texas
31,Tate Shaw,"Austin, Texas",Westlake,baseball,texas
32,Ryan Reynolds,"Sugar Land, Texas",Ouachita Christian (La.),baseball,texas
33,DJ Petrinsky,"Magnolia, Texas",Magnolia West,baseball,texas
34,Masen Hibbeler,"Cypress, Texas",Cypress Ranch,baseball,texas
35,Kamron Fields,"Garland, Texas",Lakeview Centennial,baseball,texas
36,Duke Ellis,"Nacogdoches, Texas",Central Heights,baseball,texas
37,Bryce Elder,"Decatur, Texas",Decatur,baseball,texas
38,Beau Ridgeway,"The Woodlands, Texas",College Park,baseball,texas
39,Nico O'Donnell,"San Antonio, Texas",Churchill,baseball,texas
40,Donny Diaz,"Kingsville, Texas",King,baseball,texas
41,Chase Shugart,"Bridge City, Texas",Bridge City,baseball,texas
42,Blair Henley,"Fort Worth, Texas",Arlington Heights,baseball,texas
43,George Pappas,"Houston, Texas",Memorial,baseball,texas
44,Josh Sawyer,"San Angelo, Texas",San Angelo Central,baseball,texas
