,name,hometown,high school?,sport,college
0,Esa Ahmad,"Cleveland, Ohio",Shaker Heights HS,mens basketball,west_virginia
1,James Bolden,"Covington, Ky.",Holmes HS,mens basketball,west_virginia
2,Derek Culver,"Boardman, Ohio",Warren G. Harding HS,mens basketball,west_virginia
3,Trey Doomes,"Acworth, Ga.",University HS,mens basketball,west_virginia
4,Andrew  Gordon,"Clearwater, Fla.",Dunedin HS,mens basketball,west_virginia
5,Jermaine Haley,"Vancouver, British Columbia",Burnaby South HS,mens basketball,west_virginia
6,Chase Harler,"Moundsville, W.Va.",Wheeling Central HS,mens basketball,west_virginia
7,Wesley Harris,"Jackson, Miss.",Callaway HS,mens basketball,west_virginia
8,Brandon Knapper,"South Charleston, W.Va.",South Charleston HS,mens basketball,west_virginia
9,Sagaba Konate,"Bamako, Mali",Kennedy Catholic HS,mens basketball,west_virginia
10,Emmitt Matthews Jr.,"Tacoma, Wash.",Woodrow Wilson HS,mens basketball,west_virginia
11,Jordan McCabe,"Kaukauna, Wis.",Kaukauna HS,mens basketball,west_virginia
12,Logan Routt,"Cameron, W.Va.",Cameron HS,mens basketball,west_virginia
13,Lamont West,"Cincinnati, Ohio",Miller Grove HS,mens basketball,west_virginia
14,Naomi Davenport,"Cincinnati, Ohio",Mount Notre Dame/Trinity Valley CC,womens basketball,west_virginia
15,Theresa Ekhelar,"Woodbridge, N.J.",Life Center Academy,womens basketball,west_virginia
16,Kysre Gondrezick,"Benton Harbor, Mich.",Benton Harbor HS,womens basketball,west_virginia
17,Destiny  Harden,"Chicago, Ill.",Morgan Park HS,womens basketball,west_virginia
18,Kristina King,"Mebane, N.C.",New Hope Christian Academy,womens basketball,west_virginia
19,Anja Martin,"San Antonio, Texas",John Paul Stevens HS,womens basketball,west_virginia
20,Tynice Martin,"Atlanta, Ga.",Southwest Atlanta Christian Academy,womens basketball,west_virginia
21,Krystaline McCune,"Louisville, Ky.",duPont Manual HS,womens basketball,west_virginia
22,Teana Muldrow,"East Orange, N.J.",East Orange HS,womens basketball,west_virginia
23,Katrina Pardee,"Cedar Park, Texas",Vista Ridge HS,womens basketball,west_virginia
24,Chania Ray,"Alexandria, Va.",Riverdale Baptist HS,womens basketball,west_virginia
25,Lucky Rudd,"Kernersville, N.C.",Forest Trail Academy/NC State,womens basketball,west_virginia
26,Nia Staples,"Cincinnati, Ohio",Lakota West HS,womens basketball,west_virginia
27,Kevin Brophy,"Randolph, N.J.",Morristown Beard School,baseball,west_virginia
28,Carter Camp,"McKinney, Texas",McKinney North HS,baseball,west_virginia
29,Nick Denicola,"East Hanover, N.J.",Seton Hall Prep,baseball,west_virginia
30,Tyler Doanes,"Fayetteville, Ga.",Whitewater HS,baseball,west_virginia
31,Conner Dotson,"Flower Mound, Texas",Marcus HS,baseball,west_virginia
32,Shane Ennis,"Romney, W.Va.",Hampshire HS,baseball,west_virginia
33,Jimmy Galusky,"Arthurdale, W.Va.",Preston HS,baseball,west_virginia
34,Ivan Gonzalez,"Round Rock, Texas",Stony Point HS,baseball,west_virginia
35,Kyle Gray,"Blanco, Texas",Blanco HS,baseball,west_virginia
36,Michael Grove,"Wheeling, W.Va.",Wheeling Park HS,baseball,west_virginia
37,Connor Hamilton,"Forestport, N.Y.",Adirondack HS,baseball,west_virginia
38,Darius Hill,"Dallas, Texas",Dallas Jesuit,baseball,west_virginia
39,Tristen Hudson,"Seneca, S.C.",Seneca HS,baseball,west_virginia
40,Chase Illig,"Bluefield, W.Va.",IMG Academy,baseball,west_virginia
41,Marques Inman,"Elyria, Ohio",Elyria HS,baseball,west_virginia
42,Isaiah Kearns,"Lewistown, Pa.",Mifflin County HS,baseball,west_virginia
43,Sam Kessler,"Mount Sinai, N.Y.",Mount Sinai HS,baseball,west_virginia
44,TJ Lake,"Toledo, Ohio",St. John's Jesuit,baseball,west_virginia
45,Will Liverpool,"McLean, Va.",McLean HS,baseball,west_virginia
46,Trey Lowe III,"Collierville, Tenn.",Bolivar Central,baseball,west_virginia
47,Alek Manoah,"Miami, Fla.",South Dade Senior HS,baseball,west_virginia
48,Dillon Meadows,"Paradise, Texas",Paradise HS,baseball,west_virginia
49,BJ Myers,"Flower Mound, Texas",Flower Mound HS,baseball,west_virginia
