,name,hometown,high school?,sport,college
0,D'Mitrik Trice,"Huber Heights, Ohio",N/A,mens basketball,wisconsin
1,Brevin Pritzl,"De Pere, Wis.",N/A,mens basketball,wisconsin
2,Aleem Ford,"Lawrenceville, Ga.",N/A,mens basketball,wisconsin
3,Walt McGrory,"Minneapolis, Minn.",N/A,mens basketball,wisconsin
4,Carter Higginbottom,"Chicago, Ill.",N/A,mens basketball,wisconsin
5,Trevor Anderson,"Stevens Point, Wis.",N/A,mens basketball,wisconsin
6,Tai Strickland,"Tampa, Fla.",N/A,mens basketball,wisconsin
7,"Charles Thomas, IV","Highland, Md.",N/A,mens basketball,wisconsin
8,Khalil Iverson,"Delaware, Ohio",N/A,mens basketball,wisconsin
9,Ethan Happ,"Milan, Ill.",N/A,mens basketball,wisconsin
10,Kobe King,"La Crosse, Wis.",N/A,mens basketball,wisconsin
11,Alex Illikainen,"Grand Rapids, Minn.",N/A,mens basketball,wisconsin
12,Owen Hamilton,"Prescott, Wis.",N/A,mens basketball,wisconsin
13,Michael Ballard,"Oak Park, Ill.",N/A,mens basketball,wisconsin
14,Joe Hedstrom,"Hopkins, Minn.",N/A,mens basketball,wisconsin
15,Taylor Currie,"Clarkston, Mich.",N/A,mens basketball,wisconsin
16,Brad Davison,"Maple Grove, Minn.",N/A,mens basketball,wisconsin
17,Nate Reuvers,"Lakeville, Minn.",N/A,mens basketball,wisconsin
18,Kelly Karlis,"Medinah, Ill.",Montini Catholic,womens basketball,wisconsin
19,Suzanne Gilreath,"Brooklyn Park, Minn.",Fridley,womens basketball,wisconsin
20,Kendra Van Leeuwen,"Brantford, Ontario",St. John's College,womens basketball,wisconsin
21,Marsha Howard,"Chicago, Ill.",Crete Monee,womens basketball,wisconsin
22,Carmen Backes,"Lindstrom, Minn.",Chisago Lakes,womens basketball,wisconsin
23,Abby Laszewski,"Avon, Conn.",Avon,womens basketball,wisconsin
24,Lexy Richardson,"Verona, Wis.",Verona Area,womens basketball,wisconsin
25,Diamond Bragg,"Camp Hill, Pa.",Camp Hill,womens basketball,wisconsin
26,Niya Beverley,"Laurel, Md.",St. John's College,womens basketball,wisconsin
27,Jasmine  Hale,"Cincinnati, Ohio",West Clermont,womens basketball,wisconsin
28,Kara  Crowley,"Beaver Dam, Wis.",Beaver Dam,womens basketball,wisconsin
29,Courtney Fredrickson,"Minnetonka, Minn.",Minnetonka,womens basketball,wisconsin
30,Imani Lewis,"Willingboro, N.J.",Life Center Academy,womens basketball,wisconsin
31,Maia Caito,"Cranston, R.I.",Cranston East,womens basketball,wisconsin
32,Grace Mueller,"Madison, Wis.",Verona Area,womens basketball,wisconsin
33,Alex  Luehring,"Verona, Wis.",Verona,womens basketball,wisconsin
34,Aron Cruickshank,"Brooklyn, N.Y.",Erasmus Hall,football,wisconsin
35,Chase Wolf,"Cincinnati, Ohio",Saint Xavier,football,wisconsin
36,Kendric Pryor,"Hazel Crest, Ill.",Homewood-Flossmoor,football,wisconsin
37,Donte Burton,"Loganville, Ga.",Loganville,football,wisconsin
38,A.J. Taylor,"Kansas City, Mo.",Rockhurst,football,wisconsin
39,Chris James,"Chicago, Ill.",Notre Dame College Prep/Pittsburgh,football,wisconsin
40,Rachad Wildgoose,"Miramar, Fla.",Miami Northwestern,football,wisconsin
